Node,Value
0,0.15137614678899083
1,0.1956521739130435
2,0.1546875
3,0.1523076923076923
4,0.18265682656826568
5,0.15517241379310345
6,0.13378378378378378
7,0.18333333333333332
8,0.1546875
9,0.12757731958762886
10,0.138268156424581
11,0.13487738419618528
12,0.18198529411764705
13,0.12958115183246074
14,0.21902654867256638
15,0.14142857142857143
16,0.21806167400881057
17,0.1853932584269663
18,0.15664556962025317
19,0.13598901098901098
20,0.1542056074766355
21,0.14820359281437126
22,0.18
23,0.16779661016949152
24,0.18333333333333332
25,0.18065693430656934
26,0.18065693430656934
27,0.13306451612903225
28,0.16779661016949152
29,0.10831509846827134
30,0.15566037735849056
31,0.12344139650872818
32,0.12437185929648241
33,0.20040485829959515
34,0.23130841121495327
35,0.1546875
36,0.16282894736842105
37,0.15517241379310345
38,0.13378378378378378
39,0.15372670807453417
40,0.20040485829959515
41,0.18198529411764705
42,0.13306451612903225
43,0.188212927756654
44,0.11073825503355705
45,0.18065693430656934
46,0.18
47,0.12757731958762886
48,0.17805755395683454
49,0.12344139650872818
50,0.1813186813186813
51,0.15325077399380804
52,0.15814696485623003
53,0.20121951219512196
54,0.1896551724137931
55,0.1542056074766355
56,0.21521739130434783
57,0.22
58,0.140625
59,0.12692307692307692
60,0.1148491879350348
61,0.20121951219512196
62,0.18065693430656934
63,0.15714285714285714
64,0.12406015037593984
65,0.1334231805929919
66,0.140625
67,0.15372670807453417
68,0.1793478260869565
69,0.18065693430656934
70,0.2219730941704036
71,0.18065693430656934
72,0.17247386759581881
73,0.1375
74,0.1689419795221843
75,0.1523076923076923
76,0.12757731958762886
77,0.14601769911504425
78,0.13524590163934427
79,0.276536312849162
80,0.13414634146341464
81,0.1523076923076923
82,0.14473684210526316
83,0.1793478260869565
84,0.25
85,0.14473684210526316
86,0.1793478260869565
87,0.11927710843373494
88,0.20454545454545456
89,0.2632978723404255
90,0.1213235294117647
91,0.2219730941704036
92,0.1774193548387097
93,0.14732142857142858
94,0.15566037735849056
95,0.16019417475728157
96,0.14516129032258066
97,0.22
98,0.18265682656826568
99,0.14473684210526316
