Node,Value
0,0.010101010101010102
1,0.020202020202020204
2,0.010101010101010102
3,0.010101010101010102
4,0.020202020202020204
5,0.010101010101010102
6,0.010101010101010102
7,0.030303030303030304
8,0.010101010101010102
9,0.010101010101010102
10,0.010101010101010102
11,0.010101010101010102
12,0.030303030303030304
13,0.020202020202020204
14,0.05050505050505051
15,0.030303030303030304
16,0.020202020202020204
17,0.04040404040404041
18,0.010101010101010102
19,0.010101010101010102
20,0.010101010101010102
21,0.020202020202020204
22,0.010101010101010102
23,0.010101010101010102
24,0.020202020202020204
25,0.010101010101010102
26,0.010101010101010102
27,0.010101010101010102
28,0.010101010101010102
29,0.010101010101010102
30,0.020202020202020204
31,0.010101010101010102
32,0.020202020202020204
33,0.010101010101010102
34,0.030303030303030304
35,0.020202020202020204
36,0.04040404040404041
37,0.010101010101010102
38,0.010101010101010102
39,0.020202020202020204
40,0.010101010101010102
41,0.010101010101010102
42,0.010101010101010102
43,0.020202020202020204
44,0.010101010101010102
45,0.010101010101010102
46,0.010101010101010102
47,0.010101010101010102
48,0.020202020202020204
49,0.010101010101010102
50,0.020202020202020204
51,0.030303030303030304
52,0.020202020202020204
53,0.020202020202020204
54,0.020202020202020204
55,0.030303030303030304
56,0.06060606060606061
57,0.05050505050505051
58,0.020202020202020204
59,0.010101010101010102
60,0.010101010101010102
61,0.020202020202020204
62,0.010101010101010102
63,0.020202020202020204
64,0.010101010101010102
65,0.010101010101010102
66,0.020202020202020204
67,0.010101010101010102
68,0.010101010101010102
69,0.030303030303030304
70,0.030303030303030304
71,0.010101010101010102
72,0.030303030303030304
73,0.020202020202020204
74,0.06060606060606061
75,0.010101010101010102
76,0.010101010101010102
77,0.04040404040404041
78,0.020202020202020204
79,0.06060606060606061
80,0.010101010101010102
81,0.010101010101010102
82,0.010101010101010102
83,0.020202020202020204
84,0.07070707070707072
85,0.010101010101010102
86,0.04040404040404041
87,0.010101010101010102
88,0.020202020202020204
89,0.04040404040404041
90,0.020202020202020204
91,0.04040404040404041
92,0.010101010101010102
93,0.010101010101010102
94,0.020202020202020204
95,0.020202020202020204
96,0.020202020202020204
97,0.04040404040404041
98,0.030303030303030304
99,0.010101010101010102
