1,0.535135
2,0.546961
18,0.55
23,0.565714
37,0.575581
44,0.512953
54,0.572254
55,0.538043
56,0.538043
64,0.572254
72,0.568966
80,0.538043
81,0.568966
82,0.535135
90,0.575581
5,0.546961
6,0.578947
12,0.538043
16,0.535135
29,0.540984
30,0.55
41,0.55
46,0.575581
52,0.55618
53,0.568966
60,0.559322
67,0.559322
73,0.585799
94,0.55
96,0.521053
97,0.538043
98,0.572254
3,0.575581
8,0.55
17,0.535135
21,0.553073
22,0.543956
26,0.546961
42,0.572254
45,0.55
47,0.568966
50,0.540984
59,0.538043
61,0.546961
63,0.5625
71,0.578947
77,0.55618
79,0.568966
83,0.565714
84,0.568966
89,0.568966
100,0.55618
4,0.543956
13,0.565714
14,0.52381
15,0.575581
20,0.559322
24,0.52381
69,0.565714
87,0.565714
7,0.546961
9,0.568966
11,0.538043
34,0.546961
68,0.540984
10,0.538043
27,0.55
31,0.565714
38,0.540984
58,0.515625
62,0.55618
65,0.572254
75,0.553073
25,0.546961
28,0.559322
35,0.553073
36,0.565714
39,0.55618
48,0.575581
85,0.568966
99,0.568966
70,0.553073
33,0.507692
40,0.578947
49,0.540984
57,0.55618
66,0.55618
78,0.546961
86,0.540984
88,0.575581
93,0.518325
76,0.492537
92,0.538043
43,0.553073
74,0.55
91,0.55618
95,0.510309
19,0.540984
32,0.535135
51,0.540984
