Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,"34,74",,,2,7,55,91,98,,95,,35,,"46,98,12,22",64,"68,79","57,52",17,,,"72,13",,,94,,97,51,61,90,78,58,,,"1,79",80,"58,43,15",7,,"65,69",,,51,91,32,97,14,,56,66,"57,67",,"73,17",23,,,"48,92,86","25,50,62",31,96,,28,,17,,,49,,,"56,39",,,"93,21",52,"82,77",,,"9,76",87,"16,34,84,70",35,,74,"56,51","40,53,88,56,61",,"81,75",78,,"57,14","73,29","89,41,43",56,,24,54,59,,"8,14",
t2,"82,54",,,,37,38,43,30,,,,80,,"8,20,30",,97,"73,25,50,89","57,52",,,"88,93",,,,,71,"42,83",,,87,36,,,"97,74,70",,"64,91",,,"56,55",,,83,41,,26,"89,98,12,22",,"83,84,69,92",36,"89,62",,"57,18,90,63",,,,"75,3",,,74,,,,57,,,,,,"65,83,86",,,,,"9,47",,,,,"40,1,53",,,1,"48,42,27,69","83,28,86,92",,,,,"98,62",,"36,14","69,86",,70,34,,,"46,89,12,22",
t3,95,,,,,,36,78,,,,,,78,,"26,45,71","90,14","73,25,50",,,,,,,,,,,,,43,,,"96,99,4,71,45",,,,,"83,38",,,56,,,,"91,35,20,79",,"40,33,51,79","43,15",79,,"50,19,62,89,25",,,,,,,"82,99,77",,,,"89,25",,,,,,75,,,,,,,,,,,,,34,,75,,,,,,,"46,66,22","81,75,3,55",,,"1,79",,,"57,91,79",
t4,10,,,,,,"58,15",,,,,,,,,,"46,12,29,22",67,,,,,,,,,,,,,91,,,,,,,,51,,,"84,86,92",,,,"16,34,80,7",,"16,34,42,70","32,91","16,34,84,70",,"91,79",,,,,,,76,,,,"14,79",,,,,,,,,,,,,,,,,,,"54,79",,,,,,,,,49,,,,"97,74",,,"70,7,41,16,17,50,25",
t5,,,,,,,"32,31",,,,,,,,,,20,,,,,,,,,,,,,,"89,7",,,,,,,,,,,"33,3,81,53,61",,,,"37,68,5",,"24,68,54","89,7","33,4,40,56,61",,"97,34,70,7,41",,,,,,,,,,,"16,34",,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,"96,26",,,"18,37,63",
t6,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,"57,5,14","48,2,92,69",,"24,1,45,5",,,,,,,,,,,"1,54",,,,,,,,,,,,,,,,,,,"24,4",,,,,,,,,,,,,59,,,19,
t7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98,12,46,17,62",55,,94,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,
t8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,35,30,63",6,,11,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
