Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,34,4,86,70,7,55,"91,37,5",98,,,94,"35,14","60,21","98,12","32,64,36",,"57,18,63",17,63,12,"72,13",14,53,70,,,51,61,,,,15,84,1,,43,7,55,,,91,,"91,36",32,,,,56,66,57,"42,27",73,23,34,38,"83,84,92","89,62",,96,13,,,17,,,"49,36",,,56,"24,4",,93,52,"1,82,77",,77,"9,74",30,"89,34,84",35,,74,,"40,61,53,79",,,78,72,"57,91,14","73,29","89,41",56,,24,"10,54","74,59","26,45","8,14,30",74
t2,79,,"81,75",79,37,38,41,,,,24,"89,22",72,30,"66,43",,"25,50","57,52",17,"35,14","88,60,93",12,84,,,,42,84,,,,36,"61,53",74,,91,,69,,,"89,43,7",,"41,58,15,7",,,,,"84,69",36,"89,17",,,,1,,"33,51,53","91,14,79",,74,21,,,,,,"43,15",,,"48,92,86","2,94",,,17,"34,76",,"9,74","96,1,99,82,85",,"1,33,91,54,56,57,88,61",12,,"96,1,99,77",,"16,34,70,23",,,30,,"43,12,46,50,62",52,,"69,48,83,84,86",,70,,,,"89,12,46","82,85,77"
t3,89,,,"16,34,84",,,,,,,70,"57,91,79",93,,,,67,25,"57,18,52","80,89",,35,"40,56,88,61",,,,,88,,,,"58,66",23,,,7,,39,,,"36,79",,"64,5,31",,,,,"88,33,53,39",58,"91,79",,,,,,23,"97,34,70,41,84,22",,"1,85",72,,,,,,"32,64",,,81,11,,,57,,,1,34,,"69,7,92,48,17,50,86,28,62,95",,,9,,"24,68",,,98,,"35,36",,,"39,40,79,51,53,55,61",,"4,79",,,,"57,91,35,20","9,47"
t4,"57,91,14",,,"56,1,88,68",,,,,,,"4,79","97,34,70,41,43,16,17,50,84",,,,,,,"73,25,50,62",79,,,"72,28,92",,,,,72,,,,"49,31",,,,"37,5",,65,,,"97,58,66,15",,,,,,,23,,16,,,,,,,"26,71,40,45,24,56,88,61",,,93,,,,,,,,,,,,,"25,50,62",,,,"54,79",,"3,67,37,39,10,18,52,55",,,,,,,,"8,14",,"58,15",,,"34,28,42",,97,,,,"41,43,7",
t5,"98,7,41,43,12,17,22",,,"72,74,92,86",,,,,,,"89,2,97","1,67,36,68,18,52,53,26,61",,,,,,,67,"97,34,84,70",,,93,,,,,93,,,,,,,,,,,,,"49,26,45,31",,,,,,,,,68,,,,,,,"28,92",,,,,,,,,,,,,,,,,,,,"16,89,84,95",,"65,38",,,,,,,,"46,89,22",,"64,31",,,"1,54",,"26,45,71",,,,"36,37",
t6,"8,20,37,30",,,"96,99,75,77,82,21",,,,,,,"26,91,45,14","66,15",,,,,,,,"54,56,26,88,61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68,40,88,57,61",,,,,,,,,,79,,,,,74,,,,,,15,
t7,,,,"59,76",,,,,,,"98,7,43,12,46,22","32,49,64",,,,,,,,"72,83,28,95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,50,62",,,,,,,,,,"97,84",,,,,"96,99,85",,,,,,64,
t8,,,,,,,,,,,"8,35,30",,,,,,,,,"10,51,93,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,67",,,,,,,,,,"61,53,71",,,,,,,,,,,,
t9,,,,,,,,,,,80,,,,,,,,,"42,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,23",,,,,,,,,,,,
t10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
