Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,74,4,,,,,5,98,77,95,,"35,14",21,"98,12,46,22,89","32,64,36",,"57,18,63",,,12,,14,,70,,97,,61,90,"98,78",,15,84,"1,79","80,12","66,43,15",7,,,84,,,,,97,,77,56,,,"83,42,27",,23,"34,95","38,6","48,83,69,86","17,25",,,13,28,,,15,39,,50,16,"56,39","24,4",,"88,93,21","90,52","1,99",,77,"9,74,76,47",87,"16,97,34",35,86,,,"40,33,53",74,81,78,,91,29,"89,41,43,7",56,,24,"10,54","74,59",26,"8,30",74
t2,99,,,,,,,14,"76,47",,,"80,89,98,46",72,"57,91,79","58,44,66",,"25,50",,,,,"89,12,46",,79,,"79,71",,84,,87,,,"56,61,53",70,14,"32,49,64",,,,"56,33,88,53",,,,,"26,79,71",,,"84,69",,,,,,"1,10,79",,"81,75,51,39","18,52,63",,,21,,,,32,,,57,79,"48,84,86",2,,"84,13","17,29",,,"9,47",85,,"54,71",12,"56,75",,,,"82,99",,,,,,"37,5,14","84,86",,70,,"1,82,77",,78,"96,1,85,77"
t3,,,,,,,,46,,,,91,93,"97,7,41,17,84,25,62",,,67,,,,,"57,35,79",,"16,89,84",,"16,89,84",,"40,88,79",,,,,"69,48,83,86,92",,"46,89,98,22",,,,,"72,83,86,23",,,,,34,,,"40,79,39",,,,,,"89,74,70",,"65,27","73,19",,,,,,,44,,,89,"34,70","33,40,75,81,88",,,"40,56,61,79",18,,,,,,95,"20,14","48,69",,,,,,,,,,"46,22","88,33,79",,"4,79",,"9,34,76,47",,87,"9,34,47"
t4,,,,,,,,,,,,"43,7",,"33,5,40,52,53,88,26,61",,,,,,,,"34,17,50,84,25",,"33,53,57",,"33,68,40,56,57,91",,"89,70",,,,,"81,51",,"57,30,79",,,,,"75,51,93",,,,,54,,,"16,65,34",,,,,,"96,14,82,57,91",,,90,,,,,,,,,,91,"24,54",,,,"16,83,69,70",,,,,,,,89,39,,,,,,,,,,,"16,97",,"89,34,84,97",,,,,54
t5,,,,,,,,,,,,"36,37",,"72,28,23",,,,,,,,"33,67,40,18,53,54",,"62,17,25",,"69,41,17,92,62",,"57,4,14",,,,,,,"17,84",,,,,"42,27",,,,,95,,,"1,54",,,,,,"98,41,50,22,25,59,62",,,29,,,,,,,,,,41,,,,,"24,4,55,39",,,,,,,,"57,79",,,,,,,,,,,,"26,45",,"1,45,14,53,54,57,26,61",,,,,
t6,,,,,,,,,,,,"66,15",,93,,,,,,,,,,,,"52,63,39",,"2,12,50,98",,,,,,,"56,61,53",,,,,,,,,,,,,74,,,,,,30,,,,,,,,,,,,,,,,,,"2,38",,,,,,,,"16,17,97",,,,,,,,,,,,,,"98,74,23,25,95",,,,,
t7,,,,,,,,,,,,"32,64",,,,,,,,,,,,,,"65,19",,,,,,,,,"83,92,23",,,,,,,,,,,,,"96,82,85,77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68,71,18,52,26,63",,,,,,,,,,,,,,"96,8,10,77,30",,,,,
t8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,"59,47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,"9,59,78",,,,,
t9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
