Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,,4,,"2,70",7,,"37,5",,,95,94,35,"60,21","89,46",,79,"57,18,52",17,63,,72,,53,94,57,97,,,,98,,"44,15",84,1,"80,12",43,7,,69,,,51,"91,36",32,97,,,,,67,"83,42,27","73,17",84,95,"69,6",,"25,50",36,96,,84,,"17,19",15,39,"49,36",50,,"56,55,39",24,97,"93,21",,"82,85",,77,9,30,"34,84,70",35,86,,56,33,74,3,78,84,57,29,89,,,11,54,74,26,"8,14",
t2,,,,,37,,,,,54,,80,72,"91,79",,"97,34,84,70","89,62",63,17,,"88,93",,,,"17,50","45,71",,,,14,,"64,36","40,88,61",74,,,5,,56,,,"83,27","41,15,7",,"26,79,71",,,,,,,"18,63","40,61,79",10,39,,67,"66,43",74,,"88,33,79",,"57,52",32,,58,,,"65,92,6,86",,26,13,,,,9,,98,"1,4,40,54,24,56,88",12,75,,"84,86",,"82,99,77",,30,"40,33,61,53",,,14,,,,,"1,82,77",,46,
t3,,,,,,,,,,34,,,93,"41,34,43,97",,"33,4,71,40,45,53,56,88",79,19,18,,84,,,,18,,,,,89,,66,28,"99,85,77",,,,,"48,84,86",,,56,64,,89,,,,,,,,"89,28",,65,,,49,"82,99,85",,"89,34,70,97",,"89,25,50",44,,31,,,"75,3",,,60,,,,,,,"69,74,48,94,95",,,,"81,33,61,53",,"9,76",,98,23,,,"98,46",,,,,47,,,
t4,,,,,,,,,,"1,79",,,,"45,54,71",,"2,83,69,23","16,34,84",,,,"33,61,79",,,,,,,,,,,,,76,,,,,"33,3,40,79,81,53,61",,,"48,84",,,57,,,,,,,,57,,,,,,,,"4,14,54,57,91",,79,,,,,,,,,,,,,,,,"96,11,85,55",,,,28,,,,14,,,,30,,,,,,,,
t5,,,,,,,,,,"97,70,16,84,89",,,,,,"51,55,39","56,33,68",,,,"16,97",,,,,,,,,,,,,,,,,,"16,34,70",,,"33,53,79",,,17,,,,,,,,"17,50",,,,,,,,"2,7,12,46,50,22,25,62,95",,"84,70",,,,,,,,,,,,,,,,38,,,,,,,,"89,12,22",,,,,,,,,,,,
t6,,,,,,,,,,"56,40,45,14,24,26,88",,,,,,"65,42","83,92,69",,,,45,,,,,,,,,,,,,,,,,,"24,1,4,54",,,"89,34,23",,,52,,,,,,,,"18,63",,,,,,,,"37,5",,"33,4,53,24,56,88",,,,,,,,,,,,,,,,,,,,,,,,"57,35,79",,,,,,,,,,,,
t7,,,,,,,,,,"48,72,92,94",,,,,,,"51,39",,,,,,,,,,,,,,,,,,,,,,"2,74,94,95",,,"1,91,54",,,,,,,,,,,,,,,,,,,,,"48,92,94",,,,,,,,,,,,,,,,,,,,,,,,"97,80,17,50,84",,,,,,,,,,,,
t8,,,,,,,,,,"11,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"96,99,10,77,85",,,41,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,"67,71,45,52,26",,,,,,,,,,,,
t9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"59,76,47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,
t10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
