Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,,4,,"2,70",,,91,,,95,,14,21,"89,98,12,22","64,36",,"18,63",17,,,,,,94,,,,61,90,"98,78",58,"44,15",,"54,79",12,"66,43",7,55,69,84,,,,32,,,77,56,66,,"42,83",,"84,23",,38,"48,92,69","17,62",31,96,,28,,,,39,,,16,"56,55","24,4,79",97,88,52,"96,82,77",86,,"76,47",30,"16,97,34",,86,,,"56,61,53",,"56,81,3",,84,91,"73,29","89,41,43",,,,54,74,45,"14,30",
t2,,70,,79,,,"89,41,43",,,,,"89,98,46",,"8,35","58,43",,19,,,,,,,11,,,,84,,14,,36,,"16,84,95","20,14",91,,,56,"56,33,61,53",,,,,,,,83,,,56,,"56,33,61",,,"55,39","18,63",,,,,,,,,,,,"83,92,86","16,89,2,97","26,45,79",,17,"9,59,47",,,,98,"68,45,54,71",,"56,75,3",,,"48,83,28,69",,"69,48,83,84,92",,"56,33,53",7,52,"57,36,14",,,,34,"1,99,77",,"46,78,22,89",
t3,,"24,79",,"16,89,84",,,57,,,,,"8,57,91",,80,,,,,,,,,,,,,,"33,53,79",,"46,89,12,22",,,,"88,33,68",22,89,,,"83,92","28,69",,,,,,,,,,,"48,69",,"92,48,83,86,28",,,6,19,,,,,,,,,,,,"81,51","68,14,57,26,91","34,70,16,84,89",,"57,18,63",,,,,,95,,"48,83,69",,,"51,55,39",,"40,51,55,39",,"48,69",5,17,"66,17,50,25,62",,,,1,"9,34,47",,"87,79",
t4,,"16,34,84,94",,"14,53,56,57,88,61",,,62,,,,,"7,41,17,50,62",,,,,,,,,,,,,,,,"89,34,97",,"57,35",,,,72,,14,,,51,39,,,,,,,,,,,"55,39",,"81,75",,,,,,,,,,,,,,,,"42,27","17,7","1,33,40,14,53,54,24,91,61",,"89,50,19",,,,,,,,"51,55",,,"65,42,27,6",,"65,38,6,42,27",,39,,57,"67,49,18,52,63",,,,74,"54,79",,34,
t5,,"56,88,68,54",,"69,72,12,46,48,22,23,28",,,,,,,,18,,,,,,,,,,,,,,,,"1,54,71",,"80,62",,,,"93,21",,,,,42,65,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,"5,63","43,22,23,28,95",,"67,14",,,,,,,,27,,,,,,,65,,"89,25,50",,,,,"96,82,99","97,16,84,89,95",,54,
t6,,"83,92",,"93,20,21,55",,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,36",,"46,12,22",,,,,,,,,,,,,,,,,14,,,,,59,"33,40,91,14,53,56,57,26,88,61",,95,
t7,,51,,6,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,15",,"35,20",,,,,,,,,,,,,,,,,"12,22",,,,,,"98,69,7,72,43,17",,10,
t8,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,64",,80,,,,,,,,,,,,,,,,,,,,,,,"37,5,8,52,55,93,63",,,
t9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,"73,19",,,
t10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
