Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,"34,74",4,,"2,70",,,,,77,,,"35,14",21,46,36,,18,,,12,"72,13",14,,"94,70",57,,51,61,90,78,,"44,15",,79,12,"58,43,15",,55,"65,69",,91,,36,32,97,,77,56,,57,,73,,95,"69,38","83,84,69,86","89,50,62",36,96,,28,57,"17,19",,39,36,50,16,"56,55,39","24,4,79",,"88,93,21","90,52","96,99,85",86,,"74,47","30,87","16,89,34,97",,86,74,,"40,79,56,88,61",74,"56,81,75,3",78,84,"57,79",,41,56,,11,54,"74,59",45,"14,30",74
t2,"85,77,54",70,,"24,79",,,,,,,,"46,89,80,22",72,,43,,,,,"35,14",60,"12,46",,,62,,83,84,73,87,,64,,"16,97,84,70",14,"32,31",,"69,6",55,,"89,7",,15,15,"26,71",,"74,76","84,86,92",,"62,17,25",,90,,,"56,39","75,79,55","91,67,14","66,43,15",74,,,"89,17","18,52",,,"58,43,15",57,79,"48,92,38","97,2,34,16,89",,13,,,3,,"96,1,99,82,85",98,"68,71,14,54,57,91",,75,"96,99,85,77",,"97,34,69,16,83,86,28","1,82,99,77","83,84,69",30,"56,53","17,84,25,70",,,"69,86",,,,"82,99,85",,"12,22","96,1,77"
t3,"9,95,47",24,,94,,,,,,,,"57,79","88,93",,,,,,,"89,98,46",,20,,,,,56,"56,33,79",52,,,,,"40,33,68,53","89,98,46",44,,,38,,"57,5,14",,64,36,,,"82,99,85","33,40,81,53,88",,63,,29,,,83,"89,34,6","43,12,22,7","32,49,91,64",,,,"91,63",73,,,"32,31",25,"89,84",,"57,91,68,14",,,,,,,,8,"7,43,12,46,17,50,22,95",,,"9,59,76,47",,"1,68,71,39,51",76,"33,79,55",,"48,83,69,23","33,40,18,53,56,88,61",,,"81,75,3,39",,,,,,35,"34,76,47"
t4,10,94,,11,,,,,,,,"16,50,70",,,,,,,,"91,79",,,,,,,"48,84,69","69,16,83,86,89,92",,,,,,,"91,30,79",,,,,,"98,46,17,50,22",,,58,,,,,,,,,,,,"1,14",36,"89,7",,,,"41,43,7",,,,44,,"40,88,57,91,61",,"98,43,12,46,50,62",,,,,,,,,"67,36,37,5,18",,,,,27,,"16,97",,"51,55,39","72,83,86",,,65,,,,,,80,79
t5,,,,,,,,,,,,68,,,,,,,,"16,41,34,84",,,,,,,"40,53,79,39","51,68",,,,,,,"34,70,7,41,16",,,,,,"18,67,30",,,,,,,,,,,,,,,"74,12,22,98","66,15","57,37,14,79",,,,"37,5",,,,,,"41,43,17,50,25,28",,"67,20,36",,,,,,,,,"66,15",,,,,,,"26,68,45",,"65,27,38","81,51,75,3",,,,,,,,,,"97,70"
t6,,,,,,,,,,,,,,,,,,,,"68,40,53,54,88,61",,,,,,,"97,34,23",42,,,,,,,"1,37,5,54",,,,,,,,,,,,,,,,,,,,,"82,99,30","32,49,64","98,46,16,17,84,22,62",,,,,,,,,,36,,15,,,,,,,,,32,,,,,,,,,,42,,,,,,,,,,"24,26,45,71"
t7,,,,,,,,,,,,,,,,,,,,"72,28,23",,,,,,,"1,71",,,,,,,,74,,,,,,,,,,,,,,,,,,,,,78,,"33,8,18,53,56,88,61",,,,,,,,,,66,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,94
t8,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,"82,85,77",,,,,,,,,,,,,,,,,,,,,87,,"72,69,23",,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t9,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t10,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
