Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,"34,74",4,86,"2,70",,,"91,37,5",98,77,,,"35,20",,89,"32,64","68,79","57,18",,63,,13,,,94,,97,,61,90,98,,,84,"1,79","80,12",66,,,"65,69",,,,"91,36",,,14,77,,66,"57,67",83,,84,34,"69,38","84,69,92","89,25,50","36,31",,13,,57,17,15,,49,50,16,"56,39",,,"88,21",90,"96,99,77",,,,,"34,84",,,,,"40,33",,"56,3",,"72,84",,29,89,,,"24,11",,"74,59","26,45","8,14,30",
t2,"82,85,54",70,,"24,79",,,"89,41","14,30","76,47",,,80,,"57,91,79",44,"97,34,84","89,25,50",,,,,,,11,,"45,79,71",,,73,14,,,"40,56,61","97,74,70",20,,,,"56,55",,,,"89,41,7",,,89,"9,76",,36,"89,17,25",,,"56,79",1,,"40,53,79,55","14,79","66,43,15",,,,"17,50","57,18,52",36,,,,,"65,83,92",,,"84,13",29,"9,76,47",,,,,"56,1,61",,,,,,,"48,84,69",,"33,61,53",,,"57,14",,,70,,1,,"46,89,12,22",
t3,95,"24,79",,"16,94",,,"57,79","89,12,22",,,,,,"41,62,97",,"1,33,71,40,54,56,88,61",67,,,,,,,,,"34,84,70",,,52,"89,22",,,"92,86","96,99,4,77,45,24",,,,,"48,83,38",,,,"57,14,79",,,,,,43,"14,79,18,91,63",,,"97,34,69,16,89",74,,"89,70,34,6","34,98,12,46,84,22",32,,,,52,"89,50","66,43",,,,,,,,"40,61,79",,,,,,,"83,92,69,86",,,,,,,"33,39,40,79,61",,23,,,"25,50,62",,,"4,79",,,,"57,35,20",
t4,10,"89,34,84",,"11,68",,,"25,84,97",79,,,,,,45,,"74,92,95",,,,,,,,,,"24,40,88",,,17,79,,,81,"2,76,47,59,94",,,,,,,,,"34,70,12,46,16,50,84,22,62",,,,,,,"97,43,19,84,22",,,"68,39,45,54,55,91","96,82,99,77",,"4,14,24,57,91","1,40,20,54,61,30",44,,,,,"91,14",49,,,,,,,,"16,34,70",,,,,,,"39,75,81,51,55",,,,,,,"16,89,70",,,,,,,,"16,89,34",,,,"62,17,25",
t5,,"1,40,56,57,61",,,,,"71,45,53,56,26","97,34,70",,,,,,,,"96,10,99,85",,,,,,,,,,,,,"18,63","16,97,34",,,,11,,,,,,,,,"1,20,53,54,24,56,88",,,,,,,"40,26,88,71",,,"65,43,6","9,76",,"41,12,17,22,25",28,,,,,,"12,22,7",,,,,,,,,54,,,,,,,"65,42,38",,,,,,,"91,4,14",,,,,,,,"1,14",,,,,
t6,,"69,48,17,50,86",,,,,"48,92,86,23","1,4,45,54,24",,,,,,,,59,,,,,,,,,,,,,19,,,,,,,,,,,,,,"72,92,69,86",,,,,,,72,,,,,,"18,35",,,,,,,"37,5",,,,,,,,,,,,,,,,,,,,,,,"2,7,41,43,46",,,,,,,,,,,,,
t7,,"75,81,18,67",,,,,"81,75",95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,"93,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,37",,,,,,,,,,,,,
t8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,
t9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,
t10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,
t11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
