Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,34,,86,"2,70",,,,,77,,,,21,"12,22",32,68,"57,52,63",,,12,"72,13",,,94,,97,,,90,,58,44,84,1,80,"66,43",,,"65,69",84,91,,,32,,,,56,,67,27,,"84,23",,69,92,"62,17,25",31,,,84,57,19,15,39,,50,,"56,39",79,,"88,93","90,52","96,82,99,77",,,47,30,84,35,86,,51,"40,33,61,53",,56,,84,"91,79","73,29","41,7",56,72,,,59,,14,74
t2,"54,79",,,79,,,,,74,,,,72,,44,,"25,50,62",,,35,93,,,,,"45,79",,,73,,36,,"56,88,61",,,"49,91",,,55,"56,61","89,43,7",,,15,,,,"84,69,86",,,,,"40,56,61,79",,39,,,,,,"53,79",,,36,69,,57,,"83,86","89,84",,84,"17,29",47,,,,98,"33,61,53",,56,,42,,,84,,"33,40,79,53,56,61","34,84,70",52,,"69,48,83,84,86",21,,,,,"12,22","96,85"
t3,"16,70,95",,,"16,34",,,,,"96,82,99,85",,,,,,,,67,,,80,,,,,,"16,89,84,70",,,52,,"43,15",,"83,28",,,"89,41,7",,,38,"48,69","57,36,5,79",,,64,,,,"88,3,53,39",,,,,"97,69,70,83,89",,,,,,,,"89,34,97",,,58,,,"62,17,25,89",,"81,75,51","88,57,91,14",,"33,40,79,53,56","57,18,63",,,,,8,28,,"48,83,84,92",,,,,"40,33,61",,"97,34,69,70,83,86,89,92","1,4,40,54,24,61",,,"3,39,40,79,81,51,55,61",13,,,,,"35,20",59
t4,10,,,"1,68,54",,,,,59,,,,,,,,,,,,,,,,,"33,4,61,68",,,17,,"32,64",,,,,"57,37,5,79",,,,,"34,66,70,16,17,25,62",,,,,,,"65,23",,,,,"4,39,14,57,26,91",,,,,,,,"1,71,14,54,26,91",,,,,,"18,52,14,63",,27,"98,72,43,46,17,50,22,25",,"34,70,48,83,86,23,89","89,19",,,,,,,,51,,,,,,,"1,4,39,75,14,57,26",95,,,"89,34,6,97",,,,,,,
t5,,,,74,,,,,,,,,,,,,,,,,,,,,,"2,28",,,"57,18,63",,44,,,,,"25,50,70,97",,,,,"24,1,68",,,,,,,,,,,,"65,7,12,22,25",,,,,,,,"98,43,22,7",,,,,,98,,,"8,93",,"81,51,75,3",,,,,,,,,42,,,,,,,"2,98,74,46,22,25,62",,,,"57,91,45,14",,,,,,,
t6,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,"50,19,62",,,,,,,"24,26,4,45",,,,,94,,,,,,,,,,,,"35,20,5",,,,,,,,"36,30",,,,,,30,,,,,42,,,,,,,,,,,,,,,,"96,82",,,,"17,62,7",,,,,,,
t7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,80,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,"18,52,63",,,,,,,
t8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,
t9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,
t10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,
t11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
