Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,"34,74",4,,2,,,5,,,,,14,"60,21",22,,79,"57,18,63",17,63,,"72,13",14,53,70,,97,51,,90,,58,44,,"1,79",80,58,7,55,65,,91,,,32,97,,77,56,,57,42,"73,17",84,"34,95","38,6","84,86","89,25,50,62","36,31",,13,84,,17,,,"49,36",50,16,"56,55",4,97,"88,21",,"1,85",,77,47,"30,87","97,70,16,84,89",,,74,,"40,61",74,"81,75,3",78,"72,84","57,91,14",73,"89,41",56,,11,10,74,79,"8,30",
t2,"99,77,79,85,54",,,,,,,,,,,"89,98,22",72,,,"34,84,70","25,50,62",57,,,88,"98,12",,79,,71,"42,83",,,,36,,,"74,70",,31,91,,,,89,,,15,,,74,"83,86",,"89,25,62",,18,"88,33,61,79","10,79",,"81,75,3,79","67,14,79","66,43",,21,"40,33",,"57,18,52",,,58,,79,"6,48,83,84,86",,45,84,,34,,47,,,"33,4,68,40,45,88,57,61",,,,,28,"96,1,99",,,"40,33","7,41,12,46,50,22,25,62",,"57,14",48,,,,,"34,70",78,
t3,"97,9,76,47,16,84,89",,,,,,,,,,,"57,91",,,,"1,33,4,40,53,54,88,61",,"50,62",,,84,"35,20,30",,"16,89",,,,,,,15,,,"96,99,77,82,85,24",,,89,,,,,,,,,,"96,1,82",,,14,,,"16,97,28","16,97,84,70",,16,"70,22,97",,,72,,,"73,50",,,31,,"89,34,84","33,3,53,88,61",,,"56,33,53,79",,,,,,,"72,2,28,62",,,,,,34,,,,67,,"98,12,46,17,62",,,,,,"1,4,54",87,
t4,"68,71,56,26,61",,,,,,,,,,,"17,50,25,41",,,,"72,2,23",,,,,"56,61,79","80,78",,57,,,,,,,"32,64",,,"9,47",,,79,,,,,,,,,,"34,59",,,"98,12,46",,,"26,68,45","33,71,45,53,26",,68,"24,26,4",,,93,,,,,,,,"1,40,53,54,91",28,,,"97,69,70,16,48,92",,,,,,,93,,,,,,54,,,,,,20,,,,,,2,,
t5,"48,83,28,86",,,,,,,,,,,"18,52",,,,93,,,,,"48,97,83,70",87,,"25,50,62",,,,,,,,,,,,,"97,84,70",,,,,,,,,,79,,,20,,,,23,,,,,,,,,,,,,,"7,41,74,43,95",,,,"4,68,71,24,26",,,,,,,,,,,,,,,,,,,,,,,,,,,
t6,"51,75,3",,,,,,,,,,,,,,,,,,,,"24,4,45,71",,,67,,,,,,,,,,,,,"24,26,40",,,,,,,,,,"16,89,84",,,,,,,,,,,,,,,,,,,,,"96,36,37,5,10,82,85",,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,
t7,42,,,,,,,,,,,,,,,,,,,,"2,94",,,,,,,,,,,,,,,,94,,,,,,,,,,"68,14,53,56,88,61",,,,,,,,,,,,,,,,,,,,,"58,59,15",,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
t8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,"98,69,12,92,48,83,86,23,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,3,8,75,51,20,55,30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80,42,27,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
