Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,"34,74",4,,2,7,55,"91,5",98,,,,35,"60,21","98,12,46,22,89",64,79,"18,52,63",,63,,"72,13",14,,70,57,,51,61,,"98,78",,15,,"1,54,79","80,12",43,,,65,84,,51,"91,36",,,14,77,,66,67,83,17,"84,23",95,"69,6","48,84","89,17,50",,,,84,,,,,"49,36",50,16,56,,,,,,86,,"74,76,47","30,87","97,84",,,,,53,,56,78,,"57,14,79",,"41,43",,,,54,,"26,79,71","8,14",74
t2,"77,79",,,,91,69,43,"14,30",,,,80,72,"57,35,30",,"34,70","73,19",,17,,"88,60,93","89,98,12,46",,,"50,62",,42,84,,,,64,,"97,84,70,95",14,91,,,,,,83,"89,15",,,"98,12","9,74,76",,36,,56,,"56,33,88",10,,88,"79,18,52,91,63",,,,"40,88,53,79",,,,,43,57,,"83,92,86",,,,,,"81,3",,"96,1,85",98,"26,61",,,,,,,"92,69",30,,"97,12,16,50,84,22,25,62",,36,,,,,,"89,34","46,89,22",1
t3,"89,9,76,84",,,,,39,,"89,12,22",,,,,,"50,62",,24,90,,,,,"8,91,35",,,,,,"56,33,53",,,,,,"4,71,45,53,24,56,61","98,22",41,,,,,,56,"32,57,79",,,"8,35,20,30","1,82,85",,15,,92,,"48,83,72,86",,,,"7,73,41,43,19",,,,"89,97,23",,,,,91,"89,62",,"81,3",,,,,,,,59,14,,,,,,,,,98,,"40,67,68,71",,"58,15",,,,,,"91,14",91,34
t4,"33,14,53,56,57,88",,,,,65,,"57,35,79",,,,,,67,,94,29,,,,,"43,7",,,,,,48,,,,,,"2,83,28,69",8,,,,,,,,"97,34,70,16,17,50",,,"80,78",34,,32,,,,"75,3,93,21",,,,"37,5",,,,"14,71",,,,,41,79,,,,,,,,,,,"89,12,46",,,,,,,,,"8,14",,,,"32,64",,,,,,98,,79
t5,"98,72,12,46,17,50,83,22,86,62",,,,,,,"97,34,16,17,80,25",,,,,,,,11,,,,,,"36,5",,,,,,,,,,,,55,,,,,,,,,"24,67,71,63",,,87,,,44,,,,13,,,,,,,,"46,98,22",,,,,,16,,,,,,,,,,,"35,79,20,57,91",,,,,,,,,"46,89,12,22",,,,,,,,,,"8,30",,97
t6,"8,67,51",,,,,,,"18,68,71",,,,,,,,,,,,,,"66,15",,,,,,,,,,,,38,,,,,,,,,"19,94",,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,"34,70,41,17,50,84,62",,,,,,,,,"35,79",,,,,,,,,,78,,"45,71"
t7,,,,,,,,,,,,,,,,,,,,,,"32,49",,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,"67,4,56,61,63",,,,,,,,,"16,84",,,,,,,,,,,,
t8,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92,48,19,86,28",,,,,,,,,"68,61",,,,,,,,,,,,
t9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
t10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
