Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,,,,,7,55,"91,5",98,,,94,"20,14",21,"98,22","32,64",68,"57,18,52,63",,63,,"72,13",,53,,,,51,61,,98,58,15,,"1,79",80,"58,43,15",,,"65,69",84,,51,36,32,,14,77,,66,67,"83,27","73,17",23,,"69,38","83,84","25,50",,,,84,,17,15,39,"49,36",,16,56,79,97,"88,93",90,"96,1,85",,77,74,87,"16,34,84,70",35,,74,51,"40,79,53,56,88",74,"56,75,3",78,72,"14,79",73,"89,43",,72,,"10,54",74,"26,45","8,30",
t2,,,,,,"69,38",,14,,,24,"98,22",,,44,,"25,50,19,62",,17,,93,,,,,,"42,83",,,14,36,,,"97,70,74,16,84,89",,"32,91,64",,,56,"88,33,79",,,"66,15",15,,22,"74,76",,,,56,"57,63",,,"56,39","88,53,79",67,,,,"56,53,79",,,36,,,,79,"83,84,86,92","16,97,84","26,45,79",84,,,,"9,74","96,82,99",,"1,33,4,68,40,24",12,,"96,99,77",,"34,48,83,23,92","96,1,82,77","83,84",30,93,"98,70,16,84,22",,"36,14",,88,,,85,,78,
t3,,,,,,39,,"46,12,22",,,70,,,,,,67,,52,,,,,,,,56,,,"46,12,22",43,,,"96,68,40,77,82,53,24,26,88",,"41,7",,,"83,84,86","97,34,70,72,89",,,"64,49","64,36",,,"96,82,85",,,,"92,69,86","50,19,62",,,"65,83,92,86","97,70,72,23,89",,,,,"97,34,69,70,86,23",,,58,,,,"89,70","40,33,88","26,61,45,71","34,84",40,,,,"96,99,85",,,2,"20,14",,76,,"1,51","9,34","40,61",98,,"4,8,40,24,56,30",,"98,46,15",,84,,,,,87,
t4,,,,,,65,,"35,20",,,"4,79",,,,,,,,,,,,,,,,"48,92",,,35,,,,"72,9,76,47,23,94",,37,,,"33,3,40,75,81,51,53,61","1,4,45",,,,"58,43,66",,,,,,,"81,75,3,55",67,,,"81,51","24,57,26,14",,,,,"24,1,81,55",,,,,,,"91,4,14",,,"88,33,53",,,,,59,,,,22,,,,"42,27,74","54,79",,,,"2,69,83,86,92",,,,"40,61,53",,,,,,
t5,,,,,,,,,,,"89,34,84,97",,,,,,,,,,,,,,,,,,,,,,,"11,93",,,,,"42,23","2,74",,,,"49,91",,,,,,,6,,,,,"98,12,46,17,22,94",,,,,"94,74,6",,,,,,,"2,7,41,12,22",,,72,,,,,,,,,,,,,"96,77","97,16,84,89,95",,,,,,,,28,,,,,,
t6,,,,,,,,,,,"1,40,91,14,53,54,56,26,88,61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89,7",,,,,,,,,,,,"8,20",,,,,"11,85",,,,,,,"35,37",,,"93,21",,,,,,,,,,,,,"9,59,47","33,68,10,53,56,57,61",,,,,,,,,,,,,,
t7,,,,,,,,,,,"72,41,12,48,83,86,23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,80,,,13,,,,,,,,,,,,,,"69,48,17,50,86,25,92,62",,,,,,,,,,,,,,
t8,,,,,,,,,,,"75,81,51,21,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98,12,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,39,81,18,52",,,,,,,,,,,,,,
t9,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,20,30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,65",,,,,,,,,,,,,,
t10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
