Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,"34,74",4,,70,,,,,77,,94,"20,14",60,46,32,"68,79",,,63,,13,14,,94,57,97,,61,90,"98,78",58,"44,15",84,,12,,,,65,84,,,"91,36",32,97,14,77,56,,,42,73,84,95,6,"69,48,83,84,92","89,50,62",31,,,,,17,15,39,"49,36",,,"55,39",,97,"88,21",90,"96,85",,,"9,76,47","30,87","89,70,97",35,86,,51,"56,33,53",,81,,,"57,14,79",29,"89,41,7",56,,24,"10,54",74,45,"8,14",
t2,"99,77,79,82,54",,,24,,,,,76,,24,"89,46",,,,70,,,,,,98,,,"17,50,62","79,71",,84,73,,,36,"40,56,79",,,,,,,"88,61",,,"58,66,7",,"26,79","89,98,12,22","9,74","92,69",,,,,"56,33,61",10,,61,,,,,,,"57,18,52",36,,"43,15",,,,,"45,79",13,,,,,,,"4,71,45,24,26",12,56,,42,"92,23",,,,,"34,70,12,46,17,84,22,62",,37,"84,86",,,34,82,,"46,12,22",
t3,"97,70,9,76,84,89",,,,,,,,,,70,57,,,,24,,,,,,,,,"67,52,63","16,34",,"40,56",52,,,58,"48,34,83",,,,,,,72,,,"37,5",,"34,70,16,84,89","8,79","96,1,85",,,,,,48,,,28,,,,,,,"89,73",66,,"32,91",,,,,"16,70",,,,,,,,2,14,84,,,,,,,,"35,20,54,24,88,61",,,"75,53,79",,,,,,35,
t4,"33,4,14,56,57,91,61",,,,,,,,,,"4,79",62,,,,,,,,,,,,,"73,19",54,,"92,69",17,,,31,1,,,,,,,93,,,,,"33,4,68,91,14,53,54,24,57,88,61","97,34,70,16,84","34,59",,,,,,,,,,,,,,,,"90,91",49,,"89,44",,,,,4,,,,,,,,,"98,22","33,40,79,88,61",,,,,,,,"72,94",,,,,,,,,80,
t5,"2,98,69,41,43,48,22,86,25,62",,,,,,,,,,"16,2,84",,,,,,,,,,,,,,,95,,39,"18,63",,,,74,,,,,,,,,,,,"7,72,43,12,50,22,23,25,28,94,95","4,68,53,54,24,26,61",79,,,,,,,,,,,,,,,,"29,7",,,,,,,,,,,,,,,,,30,"16,89,70,97",,,,,,,,"11,21",,,,,,,,,,
t6,"3,39,8,75,30",,,,,,,,,,"33,68,40,53,56,88",,,,,,,,,,,,,,,10,,65,19,,,,"96,82,99,85",,,,,,,,,,,,"35,37,20,21,93","28,94,95","97,84,70",,,,,,,,,,,,,,,,"37,5",,,,,,,,,,,,,,,,,,"4,68,45,24,26",,,,,,,,13,,,,,,,,,,
t7,65,,,,,,,,,,"48,72",,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,"4,71,40,45,24,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,
t8,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72,94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
