Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,74,,,70,,,91,98,,,,35,60,"12,22",32,68,"18,52",,,12,13,,,,57,,,,90,98,,15,84,"1,79",80,58,7,,69,84,,,36,,97,14,,,66,,,,,34,"38,6","48,83,92","89,17",,,,84,57,,,,49,,16,"56,55",79,,"88,93",90,"1,99,85",86,77,"74,76,47",,"16,97,84",35,86,,"56,51","40,79,56,88,61",74,"81,75",78,72,"57,91,14,79",29,7,56,72,11,54,74,"26,71",30,74
t2,"96,82",,,"24,79",,,"41,43",,,,,80,,35,,,73,,,35,,,,,"17,50,62",,,,,,,36,"88,79","16,89,74,70",,,"91,5",,56,"61,79",,,15,,"26,71","89,12,22",,,,,,,,79,,,"79,18,52,91,63",,,,"56,33",17,,,,,,,"48,84","16,34",,84,29,34,"56,81","9,47",,,"88,33,61,53",,"56,3",,"42,84,86,27,92","34,70,72,92,83,86,89,28","1,77",,,"93,21","97,98,7,41,43,12,16,17,84",,,48,,,34,"1,99,77,82,85",,,"1,82,85,77"
t3,,,,"16,94",,,,,,,,,,80,,,,,,80,,,,,"67,52,63",,,,,,,"66,43","16,97,72,70","96,99,4,68,14,82,57",,,"41,43",,"48,84,92","16,89,28",,,"32,64",,,"35,79,20,57,91",,,,,,,,"16,84,70",,,"97,43,70",,,,"48,92,69","18,63",,,,,,,"40,61,53",,,"61,53,79",,79,"48,84,92",,,,,,"48,83,84,92",,"33,3,40,79,81,53","3,4,75,81,51,54,24,57","9,76",,,13,"71,8,52,53,56,26,61,63",,,,,,1,9,,,"9,34,47"
t4,,,,"11,68",,,,,,,,,,,,,,,,,,,,,"73,19",,,,,,,91,"4,68,45,24,93","46,50,59,22",,,36,,"40,33,53,79","91,68,14",,,,,,"97,34,70,7,17,50,84,25",,,,,,,,"33,4,68,24,56,88",,,"26,45,71",,,,55,,,,,,,,"28,23",,,"16,89,28,70",,16,"88,33,61",,,,,,"61,53,79",,"16,34","17,62",,,,,"48,73,92,69",,,,,,74,,,,54
t5,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,41,94,67,,,"58,66",,23,"43,46",,,,,,"1,56,67,37,5,45,54,24,26",,,,,,,,"48,2,72,94",,,,,,,,,,,,,,,,,,"4,14",,68,72,,,,,,"97,28",,1,"52,63",,,,,39,,,,,,"96,82",,,,
t6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49,31",,,36,,,,,,"69,74,86,92,95",,,,,,,,"93,21",,,,,,,,,,,,,,,,,,"2,12,22,98",,,"93,21",,,,,,"26,71",,74,"73,19",,,,,65,,,,,,,,,,
t7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,"10,85,82,55",,,,,,,,,,,,,,,,,,,,,,,,,,"8,20,30",,,,,,,,,,,"96,77",,,,,,,,,,,,,,,,
t8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,59",,,,,,,,,,,,,,,,
t9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
