Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,"34,74",,,"2,70",7,,"37,5",98,77,,,"35,14",,"46,89,12,22",36,68,"57,18",,63,,72,,,94,,97,,61,,98,,"44,15",,"1,79",80,66,,,65,,91,51,36,,97,14,,,,67,27,17,"84,23",95,"69,38","48,84,86,92","25,50",31,,,"28,84",57,19,,39,,,16,"55,39","24,4,79",,"93,21",,"82,99,85",,77,"74,47",30,"97,34,70,16,84",,,74,56,"33,61",74,"56,81,75,3",,,"91,79",73,"89,43",56,72,24,54,,"79,71","8,14",74
t2,"96,77",,,,37,,,30,76,,,"80,89,98,46",,57,"58,43,66",,62,,17,,88,,,,,"45,71",,,,"8,14",,36,,"89,70,97",,49,,,,,"89,43",,"58,15",,71,"89,98,12,22",,,,,,"18,63","56,33",,"56,39","33,75,79,53,88",,,,,"56,88,79","89,17",,,,,,79,"65,6","16,2,84",,,,,,"9,74,47","96,82,85",98,"33,68,54,24,61",,,"99,85,77","84,86,92",28,"96,82","83,84,69,92",,,"97,34,70",,"57,36,14","69,48,83,84,86","88,21",70,,,"16,89,34,70","89,12,22","1,82,77"
t3,"9,47",,,,,,,78,,,,"57,91,30",,"62,17,50,25",,,,,"57,18",,,,,,,,,,,,,"58,66",,"4,14,71",,,,,,,79,,"32,31",,,"91,35,20",,,,,,19,"48,92",,"84,86,92","16,89,97",,,,,"97,34,69,16,48,86,89,92",,,,,,,"89,34,97",,"33,68,40,56,88",,,,,,1,59,14,"28,94,95",,,76,"40,33,3,61",,,"33,39,51,53,55,88,61",,,"24,4,45,71",,"46,15,50,25,62","88,81,75,3",84,,,,"24,4,14,68","35,79,20,57,91","76,47"
t4,,,,,,,,87,,,,"7,78,17,50,25,62",,"18,52",,,,,25,,,,,,,,,,,,,49,,46,,,,,,,"97,70",,,,,,,,,,,,,,"40,88,61","91,68,14",,,,,"1,3,71,45,14,81,26",,,,,,,"1,71,14,57,91",,"48,69,86",,,,,,34,,"46,89,22","10,11",,,,,,,"65,38,72,42,27",,,2,,67,,"40,79,53,56,61",,,,"46,94,2,22","97,70,7,41,43,16,80,50,25",
t5,,,,,,,,,,,,"18,37,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,72,"98,12,46,7",,,,,46,,,,,,,"98,41,74,46,17,50,22,25,62",,"75,55,39",,,,,,79,,"57,79",,,,,,,,21,,,,,,,"28,69,86",,,,,"24,36,37,68",
t6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,5,30",,,,,,,,,,,,"96,99,77,18,52,85",,"65,38",,,,,,"16,89,84,97",,"97,34,16,25,62",,,,,,,,13,,,,,,,"81,3",,,,,"66,15",
t7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,"73,9,76,47,59",,,,,,,,"33,68,71,45,14,56,57",,"1,26,45,54",,,,,,,,,,,,,,,,,,,,"32,64",
t8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,90,,,,,,,,"69,12,46,50,86,25,92,62",,95,,,,,,,,,,,,,,,,,,,,44,
t9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67,35,39,75,20,55",,,,,,,,,,,,,,,,,,,,,,,
t10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80,65",,,,,,,,,,,,,,,,,,,,,,,
t11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
