Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,,4,86,70,7,55,91,,,,,"35,20",,12,"64,36",79,18,,,12,13,,,,57,97,,61,,98,,15,,,,15,,55,69,,,51,,,,,77,,66,,"83,42,27","73,17","84,23",95,"69,6","84,92","25,62",36,96,,84,,19,15,39,36,,,55,24,,88,90,"96,99,85",86,77,,30,97,,86,,"56,51","40,33,56,88",,"56,81,3",,72,"57,91,79",29,7,,72,11,,,"26,45,79,71",8,74
t2,,70,"56,81",,"91,37",38,89,,,,,80,,,58,34,,,,,,,,,"17,62",45,,,,"8,14",,,,,,32,,"69,6",55,,,"83,27",,,,,"74,76",,,,56,"18,63","40,56,61",,56,"33,53",,"66,43",74,,"40,33,88",,,36,,58,,,"38,6",,,,,,81,9,,98,"26,45",,"56,75,3",,42,"48,83",,"83,84,92",,,"70,41,16,17,84,62",,37,,"88,21",,,,89,,"96,85,77"
t3,,79,"84,69,92",,"89,43",,14,,,,,,,,,"1,54",,,,,,,,,"18,52,63",,,,,"46,89,12,22",,,,,,,,56,38,,,,,,,,"82,99",,,,"84,69",19,"48,28,69,86",,"48,83,92",23,,49,"1,82,99,77",,,,,"58,43,66",,,,,,,,,,,,,,,,,84,,,51,,"33,61,53",,,"33,4,68,40,52,24,63",,,,13,,,,,,"9,76"
t4,,"16,84","40,33,61",,"57,14,79",,98,,,,,,,,,"74,95",,,,,,,,,,,,,,"57,91,20",,,,,,,,"48,83,86",,,,,,,,,,,,,"40,79,39",,"75,55,39",,,,,,"9,47",,,,,"49,31",,,,,,,,,,,,,,,,,"88,33,61,53",,,,,23,,,"73,94",,,,60,,,,,,
t5,,"56,33,88,53",,,"12,46,17,84,62",,30,,,,,,,,,96,,,,,,,,,,,,,,"17,50,62",,,,,,,,"51,3",,,,,,,,,,,,,"89,34,70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,
t6,,"72,86,23",,,"33,35,18,52,53,56",,,,,,,,,,,,,,,,,,,,,,,,,"18,67,52",,,,,,,,27,,,,,,,,,,,,,"24,1,57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t7,,"75,3,93",,,"83,69,23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t8,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t9,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
