Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,"34,74",,,2,7,55,"91,5",,,95,94,"35,14",,"46,12,22","32,64",79,63,,,,72,,53,70,57,,51,61,,78,,44,,1,,"66,43",,,"65,69",84,91,,91,,97,14,77,,66,,"42,83","73,17","84,23",95,,"83,84,69","62,17,25",36,96,13,,57,"17,19",15,,49,,16,56,"24,4",97,,"90,52","96,1,85",86,77,"9,74,76,47","30,87","16,89,70",,86,74,,"40,33,88",74,,78,72,"57,91,14",73,"89,43,7",56,,"24,11",,,"26,71",,
t2,"96,99",,,,"91,37",,43,,,54,,"89,98,22",,20,44,"89,34,84,70",,,,,88,,84,,"89,50",,"42,83",,,87,,,,74,,"49,91",,,56,"88,33,79",7,,7,,79,"89,22","9,74,76",,,,,"57,63",,,,"40,88,79",18,43,74,21,,"17,25","57,18,52",32,,,,,84,"2,94","26,45,79",,29,,81,"74,47","1,82,85",98,"24,68",,75,"96,99",,,"96,1,77",,,21,"17,41,7",52,"36,37","83,84,69",,70,,,,,
t3,59,,,,"89,41,43",,36,,,34,,"8,57,30",,,,"1,33,40,14,24,56",,,,,,,"40,33,56",,79,,,,,,,,,"99,85,77",,"89,41",,,"83,84,92","72,34",5,,,,"89,84",79,96,,,,,"89,19",,,,"16,72",,,"99,85,77",72,,,"89,25,62",44,,,,,"88,61,79",,"89,34",,,,,99,,14,,,,59,,,34,,,,"52,5,63",17,,"40,33,55",,,,,,,
t4,,,,,"36,14,79",,"58,66,15",,,79,,"17,25,78",,,,"98,48,83,86,22",,,,,,,69,,"16,34,84",,,,,,,,,"9,76",,79,,,88,"1,93,54",,,,,"33,57","97,84,70",59,,,,,"91,79",,,,,,,47,"88,93",,,91,,,,,,"89,70",,"1,14,57",,,,,,,"46,22",,,,,,,,,,,73,"57,63",,38,,,,,,,
t5,,,,,"97,34,66,98,70,46,22,58",,,,,97,,"18,52,63",,,,"8,75,3,30",,,,,,,55,,"33,68,40,53,56,61",,,,,,,,,,,16,,,,"74,95",,,,,"25,50","33,4,53,56,88",,,,,,"41,34,7",,,,,,,,84,,,7,,,,,,"57,4",,"62,17,74,25",,,,,,,,,,,,,,,,,,90,,,,,,,,,,
t6,,,,,"1,4,45,54,26,31",,,,,"45,71",,19,,,,78,,,,,,,6,,"92,69,86",,,,,,,,,,,,,,,"82,85,77",,,,,67,"48,72,92,86",,,,,,"37,5",,,,,,,,"33,40,79,53,61",,,,,,,,,"62,17,50,25",,"99,77,18,52,63",,,,,,,,,,,,,,,,,,,,,,,,,,,,
t7,,,,,74,,,,,,,,,,,87,,,,,,,,,"75,3,55",,,,,,,,,,,,,,,47,,,,,,"81,21",,,,,,,,,,,,,,"89,34,28,97",,,,,,,,,"18,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t8,,,,,85,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57,45",,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,50,62",,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,67,52",,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
