Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,34,,,,,55,"91,37",,,95,,35,60,"46,22","32,36",68,57,,,12,"72,13",14,53,,57,97,,61,,"98,78",58,,84,,80,43,,55,65,84,,51,"91,36",32,,,77,,66,"57,67","42,27",17,84,,6,"84,69,86,92","89,17,50,25",,,13,"28,84",57,17,,,49,50,16,"56,39",79,,93,90,"96,85,77",86,,9,"30,87","97,34,84",,,74,51,"33,40,79,88,61",74,56,,"72,84","57,91",,"41,43",56,72,24,54,74,,"8,14,30",
t2,54,,,,,38,43,,,,,80,,,43,,25,,,"35,14","60,93","89,46",84,,,71,,,,,36,,"88,53,79",,,,,69,,"33,79,53,56,88",,27,15,15,,,"9,74",,36,62,,"18,63","56,33,61",,,"3,39,40,75,79,81,55,88,61","18,52,14,79",,,21,"56,33,88","89,17,50",57,,,,,79,84,16,,,29,47,"81,3",,,98,"1,33,45,53,54,56,88,61",,,"96,1,99",,"34,70,72,16,28","96,1,82,77","48,92,69",,"61,93,53,79","41,43,17,25,62",,,"48,83",88,,,"82,99",,"89,78",
t3,95,,,,,,36,,,,,,,,,,,,,"80,22",,79,"33,40,79,88,61",,,,,,,,15,,"16,70,23",,,,,56,,"72,69,86,23",,,64,36,,,99,,"58,43",,,19,"48,28,92",,,"34,70,72,89,28","97,73,12,46,22",,,72,"48,69","52,14,63","50,62",,,,,"89,70,97","33,61,53",,,,,,,,,,"69,72,74,92,83,86,28",,,34,,"24,93","9,34,47","55,39",,"34,70,16,23,89","36,63",,,51,,,,,,"91,79",
t4,,,,,,,"66,15",,,,,,,,,,,,,,,"97,84,70","16,97,70",,,,,,,,"32,64",,"4,68",,,,,"48,84,86,92",,"81,55",,,,"58,66",,,,,"91,31",,,,,,,"1,91,54","26,35,45,71",,,93,,"73,19,12,46",67,,,,,"91,4,14,71",23,,,,,,,,,,"3,99,75,77,51,85,55,93",,,"54,79",,,"54,79","65,38",,"91,54","58,19,66,15",,,"42,27",,,,,,"41,97,70,7",
t5,,,,,,,"64,49",,,,,,,,,,,,,,,"88,33,71","26,68,45,71",,,,,,,,44,,,,,,,"33,3,75,79,81,53",,38,,,,31,,,,,"89,41",,,,,,,"41,74,7",80,,,,,35,,,,,,"2,98,7,41,43,12",,,,,,,,,,,"38,6,9,76,47,27",,,"97,16,84,89,95",,,"16,97",,,"43,95,7","32,49,64",,,,,,,,,"45,37",
t6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,89,34",,,,,,,,,,,79,,,,,,,"82,99,77",,,,,,,,,,,,"35,36,5,8,20,30",,,,,,,,,,,,,,"40,10,53,56,57,26",,,"26,68,45",,,"37,5",44,,,,,,,,,,
t7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"54,14",,,,,,,,,,,"97,34",,,,,,,"9,47",,,,,,,,,,,,58,,,,,,,,,,,,,,"50,83,69",,,,,,,,,,,,,,,,,
t8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98,46,95",,,,,,,,,,,"26,71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67,55,39",,,,,,,,,,,,,,,,,
t9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65,6",,,,,,,,,,,,,,,,,
t10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
