Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,"34,74",4,,70,,55,"91,5",,,95,,14,60,"89,98,12,22",64,,"18,63",17,,12,"72,13",,53,70,57,,,,,98,,44,,54,80,"43,15",,55,,,,,36,,97,,,56,66,"57,67",83,"73,17","84,23",95,,"84,92",62,31,,13,,,19,,,49,,16,55,"4,79",,"93,21","90,52","1,99,77,82,85",,,"74,47",87,"97,34,16,84,89",,86,74,,"40,33,53",74,"81,75",,,57,73,"89,41,43,7",56,,"24,11",54,74,"45,71",8,
t2,"96,82",,,79,,69,"89,41,43",,,54,,"89,98,22",,"35,20,30,79",,,,"52,63",,35,"88,93",,,79,"89,50",,,,,8,,,,,,"32,64",,"69,6",,,,,"58,66",,79,,,"84,69,92",36,25,,57,"33,40,79,88,61",10,,"88,61,53",,,,,,,,,,,,,6,"97,2,34,16,84",,13,17,"9,47",,,"1,99",,"33,68,71,45,14,57,26",,3,"1,99,85",,,"96,77",,,,50,52,"57,36,5,79","48,84,69,86",,70,34,1,,,
t3,59,,,"97,34,16,84,89",,,"14,79",,,34,,"57,91",,"97,34,70,78,16,80,84",,,,73,,80,,,,"16,97",14,,,,,,,,,,,,,"56,39",,,,,31,,"16,89,34,70",,,"33,39,40,88,61",,,,50,"97,70,72,16,89",,,72,,,,,,,,,,,,,,"1,40,53,54,61",,,18,,,,,,"17,50,12,46",,,,,,"9,76,47",,,,,,"25,34,66","75,61,55,39",,,,34,,,
t4,,,,"1,71,40,14,53,88,57",,,"97,84,46",,,79,,"25,43,62,41",,"33,68,71,40,54,61",,,,,,,,,,"68,71","98,12,22",,,,,,,,,,,,,"65,92",,,,,,,"1,4",,,"72,65",,,,67,"68,14,24,57,91",,,21,,,,,,,,,,,,,,95,,,,,,,,,"67,18,35,52",,,,,,,,,,,,,"38,65,28,6",,,,"54,79",,,
t5,,,,"72,74,12,17,23,25",,,"71,40,45,53,56,26,88",,,"89,84",,,,95,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,"2,74",,,"93,21",,,,,"98,41,46,50,22,25,94",,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,"16,89,84",,,
t6,,,,"35,99,77,82,20,21,52,85,93,63",,,"69,72,48,86,23,92",,,"33,14,53,56,57,88,61",,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"96,82",,,13,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53,14",,,
t7,,,,"73,9,76,47",,,"81,55",,,"69,72,92,22,23,86,25,28,62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98,23",,,
t8,,,,90,,,,,,"55,93,21,39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,
t9,,,,29,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
