Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,74,,,70,7,55,,98,77,95,,35,"60,21",98,32,68,"57,18",,,12,"72,13",,,"94,70",57,97,51,,,"98,78",58,44,84,"1,54,79",,58,,55,69,,,,,32,,,77,56,,"57,67",,"73,17",84,95,"69,38","83,84,69,86","25,62","36,31",,,"28,84",57,17,15,39,49,,,"55,39",24,97,93,90,"96,82,77",86,,,,"16,89,84,97",,,,51,40,,3,78,,"57,91,79",29,41,,72,,,,"26,45,71","8,14",
t2,"96,99,85",,,79,37,,,"14,30","74,47",,,80,,8,,,"89,25",,,14,"88,60",,,11,"89,17,62","45,79,71",42,,,14,,,"53,79","97,84",,,,,55,,,,,15,,,"9,74","84,69",,"89,17,62",,90,"40,88",10,39,"88,75,61,39",,43,,,"88,79","17,50,25","57,52","32,36",69,,,,,,,,,"59,76,47",,,,,"33,40,45,56,57,91",,,,"42,27",,,,30,,"17,41,97,7",,,,"88,21",,,,,"46,22",
t3,,,,89,,,,"89,22",1,,,,,,,,79,,,"89,22",,,,,"79,18,52,91,63",16,,,,,,,"34,70,23","40,33,61,45",,,,,6,,,,,36,,,1,"61,53,39",,"52,79,14,63",,29,72,,,65,,,,,"97,34","18,67,52,63","89,50","43,44","56,55",,,,,,,,,,,,,,"69,41,48,17,50,83,86",,,,,,,,98,,"71,18,52,26,63",,,,,,,,,,
t4,,,,57,,,,"91,79",,,,,,,,,"97,34,84,70",,,"57,79",,,,,"97,34,70,7,73,16,84",68,,,,,,,"1,4,54",28,,,,,,,,,,58,,,,"65,23",,"73,12,46,19,84,22",,,,,,,,,,,"1,45,54",73,,91,"38,6,48,84,92",,,,,,,,,,,,,,"67,3,18,51,52",,,,,,,,8,,73,,,,,,,,,,
t5,,,,25,,,,"16,41,97",,,,,,,,,"1,33,40,53,54,24,61",,,"97,16,17,50,84,25",,,,,"1,4,37,71,53,88,90",,,,,,,,"2,74,95",,,,,,,,,,,31,,,,,,"33,35,20,53,56,61",,,,,,,,,,,95,90,,"89,41,7","33,40,53,88,61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t6,,,,,,,,"26,45,71",,,,,,,,,"74,28",,,"68,52,53,26,63",,,,,"29,23",,,,,,,,"96,10,82",,,,,,,,,,,,,,,,,"48,69,23",,,,,,,,,,,,,,"5,14,79",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t7,,,,,,,,,,,,,,,,,"99,85",,,"73,23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,"70,98,22,97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t8,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,"24,4,71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t9,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
