Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,34,,86,2,7,,"91,5",,,95,94,35,,"46,12,22",36,68,"18,63",,,,72,,53,,57,97,51,61,90,"98,78",,44,,"1,54,79",12,"58,43,15",,55,65,84,91,51,36,32,,,77,,,57,"83,27","73,17","84,23","34,95",38,84,50,,96,,,57,"17,19",,,49,50,,"55,39","4,79",,"88,21",,"96,1,99,77,85",86,77,"9,76,47",30,16,35,86,,,40,,75,,"72,84",14,29,"89,43,7",56,72,"24,11",10,,71,30,74
t2,54,,"81,75",,37,,"89,43",,,54,,80,,20,66,,,,,,88,,,,,"45,71",,,,87,,,,"74,16,84,89,95",20,"32,91,64",,6,,"88,33,53,79","43,7",27,"66,15",15,,,76,,,"89,17,25",,"57,90","56,88,61,79","10,79",,"88,53,79",67,,74,,,"17,50","57,18,52",,,,57,,6,"16,2,34",,"84,13",,47,3,"74,47",,,68,,"75,3",,,,,,,"40,33,53,21","46,22",,"5,79","48,83,86",21,,,,,,"96,82"
t3,,,,,,,"36,14,79",,,34,,,,,,,,,,,84,,,,,,,,,,,,,"96,33,99,68,40,77,14,85,56,91,61",,"89,44,7",,,,"16,89,70",5,,"32,49","64,36",,,,,,"18,14,79",,"89,50","34,72,16,89,92",97,,"72,89,70",,,"1,82,77",,,"67,52,63","73,50",,,,"89,17",,,68,,"33,40,79,60,61",,,,"96,1,85",,,,,,,,,,,,"13,23",,,"97,34,84","81,51,3",13,,,,,,
t4,,,,,,,"34,66,98,70,16,84,22",,,"1,79",,,,,,,,,,,"61,79",,,,,,,,,,,,,"98,43,12,47,83,86,59,28",,"57,37,79",,,,"57,4",,,,"58,66",,,,,,"97,98,70,12,84",,"91,67,14",,45,,"24,57,91,93",,,47,,,,,,,,"14,79,18,52,91,63",,,,,"89,28,70,97",,,,34,,,,,,,,,,,,60,,,"1,71,54,56,61",27,,,,,,,
t5,,,,,,,"33,68,8,53,54,24,56",,,"16,97,74",,,,,,,,,,,"16,89,28,70",,,,,,,,,,,,,"35,3,75,81,30",,"97,34,70,25,62",,,,25,,,,31,,,,,,"33,8,45,20,24,26,88,61,30",,"46,12,22,7",,,,"25,7",,,,,,,,,,,"98,7,73,46,16,19,84",,,,,"24,14,71",,,,79,,,,,,,,,,,,,,,"74,92,48,86,28,95",,,,,,,,
t6,,,,,,,"83,92,94,23",,,"96,99,71,82,26",,,,,,,,,,,"24,57,14",,,,,,,,,,,,,80,,"54,71",,,,,,,,,,,,,,78,,"35,20,37",,,,37,,,,,,,,,,,"33,68,37,5,40,56,61",,,,,"46,94,22",,,,"89,84,70,97",,,,,,,,,,,,,,,10,,,,,,,,
t7,,,,,,,"51,11",,,,,,,,,,,,,,"98,12,46,17,22,25",,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,"48,83,28,92",,,,,,,,,"4,71,14,53,56,26,88",,,,,,,,,,,,,,,,,,,,,,,
t8,,,,,,,42,,,,,,,,,,,,,,"8,18,52,30,63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,"2,69,23,86,22,92",,,,,,,,,,,,,,,,,,,,,,,
t9,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"81,75,3,55",,,,,,,,,,,,,,,,,,,,,,,
t10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
