Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,74,,86,70,,55,5,98,77,95,94,20,60,"46,98,22","32,36",,"18,63",17,,,,,,70,57,,51,,,,58,15,84,"1,79",80,"58,15",,,,84,91,,91,,,14,77,,,57,42,,84,34,"69,6","69,48,83,86,92",62,36,,,,,,15,,,50,,"56,55,39",24,97,,"90,52","1,99",,,"74,47",30,"16,97,34,84",35,86,,56,,74,"56,75",78,84,"91,14,79",73,"43,7",,72,24,54,,"26,79",14,
t2,"85,77",,"56,81",24,,"69,38",,"14,30","74,47",,,,,"8,30",,,,"57,63",,,,,,"4,79",17,,83,,,,,64,"56,53,79","16,89,97",,32,,,,"56,33,53,79",7,,"89,7",,,"89,22",74,,,,,,"56,88,61,79",79,"56,39","81,75,55",,"43,15",,,,,,36,,,57,,"65,38,48,84,92",94,"26,45,79",,,34,,,"96,1,82",,"56,26,88,71",,"56,3",,84,,"96,1,82,77","48,84,69",,"56,33,53","34,98,7,41,46,22",52,"37,5",,,70,34,,16,"46,89,12,22",
t3,"9,76",,"48,83,92,69",94,,39,,"12,46",85,,,,,78,,,,"19,62",,,,,,"16,97,34,84","18,52,63",,,,,,,,"97,69,16,23,89,92","68,71,45,14,57",,,,,,"97,69,83,23,89",37,,"57,14",,,,"96,1,82,85",,,,,,"97,70,16,86,89","16,89,84","83,86",6,,,,,,,,"66,43",,,"89,17",,"88,61",11,"16,89,84",,,,,,"34,59",,"83,69",,69,,"40,33",,"9,76","40,33,61,39",,"83,92,69,86",5,17,,,,4,1,,68,"57,91,20",
t4,,,55,11,,65,,"35,20",,,,,,87,,,,,,,,,,"33,68,71,45,53,54,56,61",19,,,,,,,,"68,45,14,71","62,25,50,22",,,,,,"57,91,39",,,"98,12,17,25,62",,,,"34,59",,,,,,"26,4,45,68","88,33,68",75,,,,,,,,,,,,"91,14",,,,"68,14,53,56,57,88,61",,,,,,54,,51,,"55,39",,,,,,,"3,39,75,81,51",,"18,63",,,,2,,,,17,
t5,,,38,,,,,,,,,,,,,,,,,,,,,"48,83,92,95",,,,,,,,,"98,12,22",,,,,,,"65,25,7",,,"8,35,20,52",,,,79,,,,,,,,,,,,,,,,,,,,"98,43,12,22",,,,"69,12,46,48,17,50,83,22,25,92,62",,,,,,,,"42,27",,"38,65,6",,,,,,,"65,27",,,,,,,,,,"18,52,63",
t6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,30",,,,,,,5,,,73,,,,"16,97,70",,,,,,,,,,,,,,,,,,,,"8,36,30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,19",
t7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,"4,71,45,24,26",,,,,,,,,,,,,,,,,,,,"66,78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
