Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,74,4,86,70,7,,"91,5",98,,95,94,"20,14",60,"98,46",32,79,"18,52",,,12,,14,,70,57,97,,61,90,98,,44,,1,12,"58,15",7,,"65,69",,,51,,32,,,77,56,66,"57,67",,"73,17","84,23",95,"38,69,6","83,84,69","62,17,50,25",36,96,,84,57,19,15,39,,50,16,"56,39","24,79",97,21,"90,52","1,82,99,77",86,77,"74,76",30,"97,84",,86,,56,"56,33,88,53",,,,84,"91,14,79",73,"89,43",,,,,"74,59",71,"8,14,30",74
t2,"96,82,85,77",,,"24,79",,,,30,,54,24,"89,22",,,44,"89,70,97",,,,14,,"98,12",,"4,79",89,"45,71",,,,"8,14",,,,,14,64,"91,5",,56,,,,,,,,"9,76","83,84,86",36,,,"57,18,90",,,,"33,53,79","18,67",43,,,40,89,,36,,,57,,"65,84","16,89,84,94",45,,17,"76,47",,"9,74,47","96,99",98,"33,40,45,53,56",,,,"48,84,69","48,92,86,23",,,,"56,33","34,98,70,41,46,84,22",,"57,14",,,,,"1,82,77",,"89,78","1,82,85,77"
t3,"9,59,76",,,"16,89",,,,78,,34,,,,,,"91,4",,,,"46,22",,"8,35,20,30",,"16,97,2,84","91,79",,,,,"12,22",,,,,"89,98",,41,,"48,83,86",,,,,,,,,"33,3,75,81,88","58,43,15",,,"89,50,29,62",,,,16,,91,,,,91,,66,,,"89,17,25",,"33,61,79","40,14,53,91,61",,,63,,,"1,82",,,"83,86",,,,"61,53","75,3",,,,"48,83,69","1,33,8,24,88,61,30",,"46,25,22",,,,,9,,"57,91,79",9
t4,,,,"91,14",,,,87,,79,,,,,,"41,2,7",,,,,,"80,78",,"33,40,45,53,88","97,34,70,7,41",,,,,35,,,,,"8,57",,,,81,,,,,,,,,72,"64,91,31",,,,,,,68,,41,,,,"43,7",,,,,"91,14",,"28,70","7,43,46,22,23,28",,,,,,,,,75,,,,,,,,,55,"72,94",,,,,,,,,"17,34,50,84",
t5,,,,,,,,,,"16,89,70",,,,,,5,,,,,,,,,"24,26,4,71",,,,,,,,,,"17,50",,,,,,,,,,,,,,"41,7",,,,,,,,,,,,,36,,,,,"98,7,41,43,22",,24,37,,,,,,,,,,,,,,,,,,6,"93,21",,,,,,,,,"33,52,53,54,63",
t6,,,,,,,,,,"4,14,68",,,,,,,,,,,,,,,"2,94",,,,,,,,,,63,,,,,,,,,,,,,,"37,5",,,,,,,,,,,,,15,,,,,"36,30",,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,23",
t7,,,,,,,,,,"2,12,46",,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,64",,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t8,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t9,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
