Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,34,4,,2,7,55,"91,5",98,,95,,"35,14",60,"89,98,12,22","32,36",79,"57,18",,63,,"72,13",14,,70,,,,,,"98,78",58,"44,15",,"1,54",12,58,,,"65,69",84,,,,32,97,,,,66,"57,67",83,73,"84,23","34,95","69,6","48,83,84,92","89,17,50,25,62",,,,"28,84",,,15,,49,,16,39,,,"88,93",,"1,85",86,77,"76,47","30,87","97,84",35,,,,"40,79,53,56,88",74,"56,81",78,"72,84","57,91","73,29",43,,72,24,10,,26,"8,14,30",74
t2,79,70,,,37,,89,30,,,,"89,98,22",,"8,20,79","58,43","97,70","25,50,62",,17,,"60,93","89,98",,"4,79",,,,,,,,36,,"74,95",20,31,,,,"61,53",,,,,79,,,,36,"89,17,62",,,"40,56,88,61","10,79",56,"33,40,79,51,53,61","18,52,14,63",,,,"56,88,53",,,36,,,,79,65,,,84,,,56,9,,98,"40,33,26,71",12,,,,"34,70,48,86,89","96,1,82,99","48,83,69",,"40,56,93,21",,,,,21,,,,,"46,89,22","1,85"
t3,"89,70,97","24,79",,,,,14,78,,,,91,,"97,34,84","91,31","4,71",,,18,,,"57,79",,"89,2",,,,,,,,66,,"10,99",,,,,,,,,,,"16,34,70",,,,"43,15","18,91,52,63",,,"48,72,28,69","89,70","48,83,92,86","34,70,42,89,27","98,73,12,46,19",,,,"69,72,48,83,86",,,"58,43",,,,"97,84",,,,"33,61",,,"92,69",,,14,,,,,,"4,75,81,54,57",59,,,"83,69,86",,,,,13,,,,,"57,79",34
t4,"24,91,4,71","16,89",,,,,22,87,,,,"41,43",,"33,71,40,45,26,61","89,41",,,,,,,"16,97,84,62",,"91,14",,,,,,,,49,,,,,,,,,,,,,"1,68",,,,,"19,7",,,55,91,"81,51,3","57,91,54","8,90,30",,,,"51,21",,,91,,,,"33,53,56,26,61",,,,,,,,,,"89,12,22",,,,,,"2,17,25,62,95",,,,"81,51",,,,,,,,,,"16,50,84","54,79"
t5,"41,2,7","57,68,14",,,,,,,,,,36,,,"57,14",,,,,,,"71,40,45,88,26",,"41,98,43,7",,,,,,,,,,,,,,,,,,,,,74,,,,,37,,,,"43,7",27,"17,50,25","29,78",,,,42,,,"89,41",,,,"92,48,86,23,28",,,,,,,,,,"35,79",,,,,,"10,52",,,,42,,,,,,,,,,"33,67,68,40,61","89,95"
t6,,"25,46",,,,,,,,,,,,,"62,25,22",,,,,,,72,,"36,37,5,8,30",,,,,,,,,,,,,,,,,,,,,"96,82,99,85",,,,,,,,,,,18,87,,,,,,,"57,79",,,,"81,75,3",,,,,,,,,,"97,70,16,80,84",,,,,,,,,,,,,,,,,,,,28,"57,10"
t7,,,,,,,,,,,,,,,,,,,,,,93,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,62,97",,,,,,,,,,,,,,"33,40,45,53,24,26,88",,,,,,,,,,,,,,,,,,,,,
t8,,,,,,,,,,,,,,,,,,,,,,,,"32,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,26,52,71",,,,,,,,,,,,,,"94,23",,,,,,,,,,,,,,,,,,,,,
t9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,
t10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
