Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,,4,86,,7,,"91,5",,77,,94,"35,20,14",60,"12,22",64,,18,17,63,12,,,,"94,70",,,,61,,"98,78",58,44,84,"1,54",80,"58,66",,55,69,,91,,"91,36",,,14,77,,66,,,17,23,,"69,38",83,"62,17,25,89",36,,,84,,,,39,"49,36",50,,"56,55","24,79",97,"88,93",,"96,99",,,,,"89,84,70",,86,,51,"88,33,53,79",74,3,78,84,"57,14",73,"89,7",56,,24,"10,54",,"45,79","14,30",74
t2,,,"56,81,75",,"91,37",,"89,41",,"74,76",,24,"89,98",,20,,,,"52,63",17,14,,,,"11,79",,,,84,,"8,14",,,"56,88,79",,,31,,6,,,"89,7",,,,,"98,12,22",,,36,,,"18,63",,,56,51,"18,14,79",15,,,"40,33,79",,,,69,"58,15",57,,"92,6","97,84","26,79",,,59,,,,,"4,24,56,88,61",,"75,3",,27,"16,34,70","1,99,77",,,"33,61","98,12,46",,79,"83,84,86",,,34,,"34,70,16,84,89","78,12,22","1,82,85"
t3,,,"48,83,84",,"89,41,43",,79,,"82,85",,,"57,30,79",,,,,,,"57,52","89,46",,,,"97,34,84",,,,"33,53",,"89,46",,,"97,70,72,83,92",,,,,,,,,,,,,"8,20,30",,,"58,43",,,19,,,"48,84,86",42,"97,84,22",64,,,"89,70,97",,,,,"32,64","62,17,25",,,"33,53,71",34,,,,,,,,"2,28,69,94",,,,,4,"9,34,76",,,,,,"16,34,84,70","61,88,51,53",,,"1,79",,"33,4,68,54,56,57,91",20,34
t4,,,"40,61,51,53",,"57,36,79",,"16,84",,,,,"16,97,34,50",,,,,,,"89,73,50","57,91",,,,"1,71,45,56,61",,,,23,,57,,,"24,26,93",,,,,,,,,,,,,,,,31,,,,,,"40,88,61",,"40,61,45",,,,"4,71,14,24,57,26,91",,,,,44,"18,63",,,,,,,,,,,,11,,,,,,,,,,,,"1,4,68,53,56","42,28",,,"97,70,74,16,89",,"2,69,7,41,86,92,95",,
t5,,,42,,"34,16,17,50,25,58,62",,"40,33,88,53",,,,,"1,26,54,71",,,,,,,"90,91,14","50,62,7",,,,"28,69,86,92",,,,,,"17,50,62",,,94,,,,,,,,,,,,,,,,,,,,,,"72,28",,28,,,,"2,98,41,17,50,22,94,62",,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,"69,74,48,23,92",,,,"96,4,71,77,14,82,24,26",,75,,
t6,,,,,"18,67,63,31",,"72,23",,,,,95,,,,,,,"41,43,12,29","67,37,5",,,,"81,75,39",,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,"93,21",,,,,,"52,30,63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"96,99,39,77,55",,,,"2,98,9,12,76,46,47",,,,
t7,,,,,,,,,,,,10,,,,,,,"35,36",,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,19,78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65,76,38",,,,"35,20",,,,
t8,,,,,,,,,,,,,,,,,,,"80,58,66,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90,87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,
t9,,,,,,,,,,,,,,,,,,,"32,49,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t10,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
