Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,,,,,7,,5,,,,,14,"60,21","89,12","32,36",,52,,,12,,,,94,57,97,51,61,,98,,44,84,54,,"58,43",,,,84,,,,32,,,77,56,,,,73,"84,23",95,69,69,"89,25,50,62",36,96,,,57,17,,,"49,36",,16,"56,55",24,97,"88,93,21",,"99,85",,,"9,74,47",30,"97,34,70,84,89",,,,56,"56,88,79",,,,"72,84","57,91,79",,"89,7",,,11,10,,"26,45",14,74
t2,,,,,,,,,,,,"89,46",,"35,20,79","58,43,44",,,,,35,,,,,17,45,42,,,,,,"88,61,79",,,31,,,,"56,33,61",,,,15,,,76,"84,92",,,,90,"56,33,79",,,55,"91,14","66,43",,,,"17,25",57,,,"43,15",,,"6,48,83,84,92",,79,,,,,,"1,99,85",98,"1,4,71,45,14,54,56,57,91",,,,"48,84,86,92","16,97,83,86",,,,"33,79,21,56,61","34,41,50,25,62",,"37,14",,,,,,,89,
t3,,,,,,,,,,,,91,,"16,97,80",91,,,,,80,,,,,"18,52",,,,,,,,"16,34,28",,,,,,,"48,83",,,,36,,,,"61,79",,,,29,"16,97,34,69",,,38,"41,98,12,22",49,,,,52,62,,,"32,91",,,"88,33,61,53",,70,,,,,,34,14,"2,7,74,43,46,48,50,25",,,,"81,75,61,53","3,71,75,51,26",,,,"97,69,70,48,92",,,12,,,,,,,"57,91,79",
t4,,,,,,,,,,,,"41,43",,"45,71","89,7",,,,,,,,,,,,,,,,,,"1,68,54",,,,,,,,,,,"66,43",,,,"97,70",,,,,"1,45,71",,,,,,,,,,,,,"41,44,7",,,72,,"24,4",,,,,,54,"46,89,22","96,99,5,77,85",,,,,,,,,"45,39",,,,,,,,,,"34,70,41,43,17,25",
t5,,,,,,,,,,,,36,,,"57,5,79",,,,,,,,,,,,,,,,,,"74,95",,,,,,,,,,,91,,,,"24,26,45,71",,,,,74,,,,,,,,,,,,,5,,,"93,21",,,,,,,,95,79,"9,59",,,,,,,,,65,,,,,,,,,,"1,4,52",
t6,,,,,,,,,,,,15,,,"97,34,16,17,50",,,,,,,,,,,,,,,,,,"99,85,77",,,,,,,,,,,"89,41,7",,,,94,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,"97,84",,,,,,,,,,,,,,,,,,,,2,
t7,,,,,,,,,,,,64,,,"45,18,52,54,63",,,,,,,,,,,,,,,,,,"9,76",,,,,,,,,,,"37,5,79",,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"71,40,45,26,61",,,,,,,,,,,,,,,,,,,,,
t8,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,97,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,
t9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,68,54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
