Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,34,4,,"2,70",,55,"91,37,5",98,77,95,94,14,21,"46,22","32,64,36",68,"52,63",,,12,13,14,,94,,97,,,,,58,44,84,1,"80,12","66,15",,,"65,69",84,,,"91,36",32,,,,56,,,,73,84,,38,"48,84","17,62",36,96,,84,57,19,15,,,50,16,55,4,97,"93,21",,85,,,"9,74,47",30,"16,84,70",35,,74,,"33,40,79,56,88",,"75,3",78,84,14,"73,29","43,7",56,72,24,54,"74,59",45,"8,14,30",74
t2,"54,79",70,,24,,38,"89,43",30,"74,47",,,"98,22",72,,"43,44",,"73,19",,,,,89,,11,,"45,79,71",,,,,,,"56,53,79",74,"20,14",49,,,"56,55","61,53,79",,,"58,66,15",15,,,,"83,84,69,92",,,,,"88,33,61,79",,,"88,61,53","18,52,63","66,43",,,"56,33","89,17,25",,36,,,57,,38,,"26,45",,,,,,"96,1",,"33,4,56,88,61",12,,"99,77",,"97,34,16,86,89",,,,"53,79","46,98,12,22",,37,"84,69",21,,,,,89,"1,77"
t3,84,"24,79",,94,,,36,,"1,82,99,85",,,,"88,93",,,,,,,,,"57,91",,,,"16,89,34",,,,,,,"97,70,48,83,86,89","82,85,77","46,98,22",,,,"48,86,38","16,97,23",,,"32,31","64,36",,,,"33,79,51,55,88,61",,,,,"34,70",,,,,,,,69,91,,66,,,"89,17,62",,,,,,,,,,59,,"72,2,83,28",14,,"9,47",,"26,75,45",,,,"34,70,23","8,35,30",,,"33,40,79,88,61",13,,,,,"57,91",
t4,"33,61,53","34,16,84,89,94",,,,,"58,66",,34,,,,,,,,,,,,,"7,41,17,50,62",,,,"57,68,14",,,,,,,"4,75,45,14,24,26",76,8,,,,"81,75,3","26,45",,,44,"58,43",,,,"34,38,6,42,89,28",,,,,4,,,,,,,,55,"41,43",,49,,,"18,91,52",,,,,,,,,,,,51,"46,22",,,,,,,,"4,54","80,78",,,"97,70,72,16,28",,,,,,"7,41,43,17,50,62",
t5,"28,23","1,91,14,53,56,57,88,61",,,,,31,,79,,,,,,,,,,,,,"67,18,37,5",,,,"98,12,17,22,25",,,,,,,"98,12,22",,,,,,,,,,,31,,,,"54,1,14",,,,,,,,,,,,,"38,6",36,,,,,"43,7",,,,,,,,,,,,"42,27",,,,,,,,,"2,95",87,,,"4,68,45,21,24",,,,,,"67,5",
t6,,"98,69,41,74,43,12,48,50,83,22,86,25,28,62",,,,,,,"16,89",,,,,,,,,,,,,,,,,"18,35,63",,,,,,,"8,20",,,,,,,,,,,,,,,"46,22,95",,,,,,,,,,,,,,"58,15",,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,
t7,,"75,81,82,51,20,30",,,,,,,"68,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,"66,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t8,,"27,78",,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,"32,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t9,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
