Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,34,4,86,2,7,55,"37,5",98,77,95,94,"35,14",60,22,32,"68,79","18,52,63",17,63,12,"72,13",14,,,,,,61,,,,44,,"1,54",80,15,7,55,69,84,,51,91,,,14,,,66,,,"73,17",23,,"69,38","83,92,69","89,62","36,31",,,"28,84",,19,,39,49,,,,,,21,90,"96,82,85",86,77,"9,76",,"34,70",35,,74,51,"56,61,53",74,56,,72,"57,14,79",29,41,56,,11,"10,54","74,59",26,"8,14,30",
t2,54,,"56,75",,"91,37",,,"14,30",74,,24,"89,98,22",,,,"89,70",,63,17,,"88,60,93","89,98,12,46",,,,,,,,,,,,95,,64,"91,5",6,"56,55","33,79,53,88,61",,,7,,,,,,36,,,18,,,56,"51,55,39",14,"66,15",,,"40,33,53,79",,,,,,,,,,,13,,59,"56,81,3",9,,,"4,54",,,"1,99,85",27,"48,28,86,92","82,99,77","48,84,69",,93,"97,70,46,22,62",,,"48,69,86",,,,"1,85",,,
t3,95,,"83,69",,"89,41,43",,,"89,46","96,1,82",,70,"57,91,30",,,,"24,57,4,14",,,52,,84,"57,91,20,79",,,,,,,,,,,,10,,,"89,41",,"86,38","97,34,70,23,89",,,,,,,,,"58,43",,,,,,"48,92",27,"46,12,22",49,,,,,,,,,,,,,,60,,,92,,,,"2,95",,,,,"81,75,3","9,76","40,33",,,"24,4,45,71",,,"3,55,39",,,,,,,
t4,10,,51,,36,,,57,,,"4,79","25,50,78,41",,,,"25,98,94",,,,,"56,53,79","97,34,16,84,25,62",,,,,,,,,,,,,,,"57,79",,81,"24,1,26,4",,,,,,,,,91,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,"2,94",,,65,,,,,,,
t5,,,27,,58,,,"62,17,25",,,"97,2,34",,,,,,,,,,"97,34,83,23,92","1,68,71,53,56,26,61",,,,,,,,,,,,,,,"97,34,70,17,50",,,"74,94",,,,,,,,,"89,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,
t6,,,,,31,,,"18,52",,,"1,45,54",,,,,,,,,,"51,45,71","48,74,83,86",,,,,,,,,,,,,,,"67,4,71,45,18,52,54,24,26,63",,,99,,,,,,,,,"57,5,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t7,,,,,,,,,,,74,,,,,,,,,,27,"96,75,77,81,82,51,85",,,,,,,,,,,,,,,"73,2,19",,,,,,,,,,,,"46,17,22,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t8,,,,,,,,,,,"96,99",,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
