Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,74,,86,"2,70",7,,37,98,77,,,14,60,"46,12,22",,"68,79","18,52",17,63,12,,,53,,,97,51,,90,"98,78",,"44,15",,"1,54,79",,"66,43,15",7,,69,,,51,"91,36",,,14,77,56,,"57,67",42,17,,95,"69,6","84,69",17,"36,31",,13,"28,84",57,17,15,39,,50,,39,4,,88,90,"96,99,77",,,"9,76",,"89,70",35,86,,51,88,,75,,84,"57,91,14",,"89,43,7",56,72,24,"10,54",,"45,79,71",14,
t2,"96,99,77,82,85",,75,24,"91,37",,,"14,30","76,47",,,22,,35,,"89,34,84",,"57,52",,14,,,84,,,"45,79,71","42,83",,,14,,64,,"97,84,95",,"64,49",91,,56,,,"83,27","89,41,58",,,"89,98,12",76,"83,86",,89,,63,,10,56,"40,79,53,55,61",,66,,21,"56,79","89,25","57,18",,,,57,,,2,,,,59,,,,,91,12,56,,42,,,,,"53,79","98,43,17,50,22,25,62",,"57,37,5","48,69,86",21,70,,,"89,70","89,22",
t3,"59,76,47",,,94,,,,"89,46",,,,,,,,"1,33,53,56,91",,"50,62",,46,,,"40,33,56",,,"89,84,70",,,,22,,,,"33,71,40,53,88,26,61",,,"89,41,43",,"48,84,92",,,,14,,,"57,35,30",,"75,51",,"91,14,79",,19,,,"83,84,86,92","97,34,6,89,28",,,,,"97,34,16,86,89","91,79","25,50",,,,"89,25,62",,,,,,,,,,,,"43,7",14,"48,84,69",,,,,,,"97,34,23",67,,"17,50","75,55",,4,,,"57,4","57,79",
t4,,,,11,,,,"91,79",,,,,,,,"74,43,23",,,,,,,,,,"33,4,40,14,53,24,56,88",,,,,,,,"28,23",,,36,,"40,33,61,53",,,,"98,12,46",,,"80,17,50",,,,"98,70,7,12,16,84",,,,,"33,40,81,51,53,61","1,45,14,57,26,91",,,,,"1,68,71,75,26,91","97,34,70,7",,,,,"91,79",,,,,,,,,,,,"36,5","89,98,46","33,40,79,88,61",,,,,,,"1,45,54",,,"18,52",6,,2,,,"62,17,2,25","34,70,16,17,62",
t5,,,,,,,,"16,41,70,97",,,,,,,,"96,99,85,77",,,,,,,,,,"72,12,46,48,23,92,94",,,,,,,,,,,"58,66,15",,,,,,"8,20",,,63,,,,"33,68,40,20,53,24,61",,,,,"28,23","7,41,43,12,46,17,62",,,,,"74,7","37,5,45,54,24",,,,,"16,43,84",,,,,,,,,,,,,"8,79,57,91,30","89,34,28,70",,,,,,,74,,,73,,,,,,63,"1,4,68,18,52,54,24",
t6,,,,,,,,"26,4,68",,,,,,,,"9,47",,,,,,,,,,"35,20",,,,,,,,,,,31,,,,,,,,,,,,,28,,,,,,"35,37,18,20,63",,,,,"82,99,5",94,,,,,"40,88,68",,,,,,,,,,,,,"34,7,43,17,84,25,62","1,54",,,,,,,"82,85",,,,,,,,,19,"2,74",
t7,,,,,,,,2,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,72,,,,,,,,,,,,,"1,33,37,5,40,52,56,88,61",74,,,,,,,,,,,,,,,,,"82,99,85,77",
t8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74,83,69","82,99,85,77",,,,,,,,,,,,,,,,,"9,47",
t9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"96,82,99,85","9,47",,,,,,,,,,,,,,,,,,
t10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,
t11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
