Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,,4,,2,,,5,,77,,94,,21,46,"64,36",,"57,18",,,12,"72,13",14,53,70,,97,,61,90,,,44,,54,,"58,43,66",7,55,"65,69",84,91,,,,97,,,,,"57,67","83,27",,"84,23",,38,"92,69,86","17,62",,96,13,"28,84",,17,15,39,36,,,55,4,97,21,,"1,77",86,,74,30,"97,34,84",35,86,74,,"56,33,79",74,"75,3",78,,91,"73,29","41,43,7",,,24,54,59,"45,79,71","8,30",74
t2,,,,,,,,,76,,,,72,,"58,43",,"25,50",,,,"88,60,93",12,84,4,,"45,71",,84,,,,,,,,,,,56,"56,33,88,79","43,7",,,,"26,71",,,,,62,,,"40,61,79",,,"3,39,75,81,55",63,,74,21,"33,40,53,56,88",,"57,18",36,69,"58,15",,,38,2,"45,79",13,,"34,47","81,3",,"82,85",,"33,45,53,88,26,61",,"56,3","96,1,85",,"89,34,83,92","96,82,77",,30,,"41,43,7",,,,,70,34,,"16,84,70",78,"96,1,82"
t3,,,,,,,,,,,,,"88,93",,91,,,,,,84,20,"56,33",,,,,"40,33,79",,,,,,,,,,,"48,84","97,34,69,70,72,83,86,89,92",5,,,,,,,,,,,,"97,28,70",,,"65,6",19,,85,,"72,69,86,23",,"25,50","58,43,66",,64,,,,,"16,89,34",,,54,,,,,"28,23",,83,"34,59",,"54,1,91,14","9,47",,98,,"36,37",,,,,4,79,,"33,68,40,88,61",87,34
t4,,,,,,,,,,,,,,,"89,7",,,,,,"33,40,79,56,61",,"92,86",,,,,"16,97,70",,,,,,,,,,,"33,61,53,79","3,39,45,81,21,55,24,57,93",,,,,,,,,,,,,"26,4,45,71",,,,,,,,"3,93,55",,67,"49,91",,,,,,,"57,54",,,95,,,,,,,,,,"98,43,12,95",,,"8,14",,15,,,,,,,,72,,"54,79"
t5,,,,,,,,,,,,,,,"57,5,79",,,,,,"48,83,92,70",,75,,,,,"4,68,71,45,24,26",,,,,,,,,,,"97,34,16,89,28","65,6,13,17,94",,,,,,,,,,,,,2,,,,,,,,38,,,89,,,,,,,"17,25,95",,,,,,,,,,,,,"35,20,30,36",,,89,,64,,,,,,,,,,"16,89,84,97"
t6,,,,,,,,,,,,,,,"70,16,17,50,84,62",,,,,,"24,4",,,,,,,"2,94",,,,,,,,,,,"57,26,45,54",60,,,,,,,,,,,,,,,,,,,,,,,,"57,79",,,,,,,"52,63",,,,,,,,,,,,,"80,58,66,78",,,"57,91,79",,,,,,,,,,,,"33,68,71,45,88,57,61"
t7,,,,,,,,,,,,,,,"24,40,68,61",,,,,,,,,,,,,,,,,,,,,,,,"25,95",,,,,,,,,,,,,,,,,,,,,,,,,"16,17,25",,,,,,,73,,,,,,,,,,,,,31,,,"34,41,43,16,50",,,,,,,,,,,,28
t8,,,,,,,,,,,,,,,"28,94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,52,63",,,,,,,90,,,,,,,,,,,,,,,,"67,68",,,,,,,,,,,,
t9,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,19",,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
