Clock Tick,Sursa_0,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,"67,51,45",,"80,61,84,37",93,2,12,"37,47,89,58,57",8,47,"18,13","98,95,87",97,,52,48,68,"73,19,55","99,84,38","10,50",50,"81,44,5","33,2,7,23,27","64,41,88",,"32,2,37",,8,"65,98,35,93,31",,,"24,67",32,,,"38,79,50,82,86,59,31",29,25,"66,68,38,50,95","34,21","74,90","33,51,49","34,67,68,10,84",,"81,73","24,14","12,70,92",63,"80,36,37,7","95,54,71",,"34,43,14,83,27,28",7,"48,26,11",23,49,38,26,14,"0,35,15,49,31",39,"42,68",6,"84,45",,"88,11,52,76",51,"76,86","41,43","37,42,55,88,60","24,56","89,75,92,31","48,19,95","33,36","74,53,21",87,,"65,66","33,50,54",21,29,"48,35,7","34,13","96,99,12","98,44","32,69","42,22",75,"96,74,29","90,77,14",0,"3,92,39","88,9,83",59,"51,46","69,72,51,20,56",,"73,57,6","83,69,95","83,66,67,79","0,86"
t2,"43,77,80,22,24,90",,"3,67,70,40,76,47,81,50,51,58,27","37,47",24,98,"64,33,98,38,13,14,15,49,18,51,81,21,82,86,93","26,47","48,82,37,6","72,73,19,58,60","57,66","3,31,95,7",,"35,11,38",25,"81,35,21","43,44,18,50,54","36,15,81,87,55","43,67,19,95",,"68,42,13,16,55","96,4,8,41,43,14,84,22,61","56,75,37",,"98,82,20,52,88",,"49,13","2,3,68,71,10,12,18,21,87,56,25,61,30",,,"34,4",,,,"0,32,7,39,41,42,72,13,18,19,20,55","98,23","85,71","99,36,69,81,21,22,88","59,68,30","72,46","32,99,8,41,11,48,20,62","1,35,99,69,77,83,20,85,87,23,59,28,62,63",,"0,13,49,53,55","4,16,49,53,91","44,81,49,90,59,31",,"2,3,4,68,49,18,82,22,86,24,91","65,99,75,80,83",,"1,65,39,74,79,48,49,80,81,52,84,57,58,31",21,"33,39,79,56,90,63","8,54","38,20,24,93,31","17,41,15",,"48,9","1,34,68,5,45,80,54,23,24,25,60,62","74,43,44,15,90,61","81,13",44,"73,58,11",,"65,38,43,13,17,83,20,90,27",80,"98,3,8,41,78,27,63,31","34,69,73,74,89","64,33,66,99,38,39,71,44,87,57,58,91","32,4,12","0,64,2,6,40,42,14,46,48,81,19,83,87,58,29","14,54,87,58,93,63","95,21,22,7",30,"88,89,55",,"37,40,49,51,27","37,41,14,83,89,28","96,33,68","99,35","32,96,68,91,43,14,17,52,58,27,93","49,58,5,39","34,28,29,15","35,2,27,68","65,74,52,29,94","68,38,6,71,80,88","36,21,70","73,57","64,72,46,18,51,61","34,45,22","64,2,36,48,87,91","65,75,47,20,58,31","72,58","32,9,96","40,49,23,24,57,92,29",,"16,58,99","33,98,37,92,80,21,28,31","57,13","27,3,52"
t3,"32,2,34,4,35,39,10,74,46,78,48,17,79,83,91,61,95",,"36,6,41,75,12,13,14,44,48,92,18,86,95,25,90,28,30,63","49,66,38,86",91,"66,78,15,20,59","9,10,11,12,16,22,24,27,31,32,39,40,45,59,62,66,70,75,76,80,84,85","36,13,48,49,83","67,70,23,58,93","3,99,71,15,16,22,54,24,56","93,19,20,37","34,83,58,90",,"2,34,98,37,43,49,31","36,47","64,98,38,8,73,85,54,29","33,34,35,58,37,67,7,39,68,10,11,81,24,26,63","64,68,10,80,20,22,91","33,4,16,49,53,85,63",,"96,39,80,50,52,21,22,23,56,91,93,62","0,98,5,38,10,74,12,76,77,78,48,50,51,52,57,58,28,63","94,98,6",,"64,96,91,76,77,47,18,59",,"9,80,81,56,59","37,7,13,78,80,52,54,55,88,26,60,94",,,"18,75,5,39",,,,"36,69,9,10,44,76,51,84,88,58","33,66,12,79,83,86","43,16,48,19,24","2,8,73,79,16,85,93","96,2,35,80,81,87","80,36,92","0,1,2,9,10,16,18,23,28,30,34,46,47,50,63,71,74,81,87,92,94","89,97,2,36,74,11,43,45,78,81,50,22,57,26,92,29",,"65,5,70,40,50,90,60","1,40,9,74,80,81,19,83,60,63","33,66,35,98,5,38,42,13,20,87",,"34,8,74,12,44,14,45,19,51,83,88,60,29,95,63","1,97,59,76,45,17,52,86,27",,"2,13,15,16,18,22,23,24,26,29,32,36,45,51,63,69,82,86,93,95,97","33,30,78","89,65,2,98,69,40,41,12,13,78,83,54,57","13,78,47,81,92","35,4,37,67,70,72,42,12,44,47,16,18,83,27","33,39,84,88,92,31",,96,"64,65,39,8,11,44,78,81,50,51,82,22,89","97,2,99,73,11,12,14,84,53,87,58,28,30","96,8,43,79,52,29","70,30","0,43,22,59,94,31",,"97,34,36,37,39,9,46,81,55,25,26","48,49,82,22","0,32,2,12,79,51,20,92,93","96,38,7,53,21,62","3,11,15,21,28,29,31,35,48,49,52,56,61,72,75,77,81,83,89,90,95","1,34,3,65,44,84,21","1,20,23,25,27,33,34,44,45,50,51,52,53,54,59,61,62,63,65,69,72,80,82,84,98","96,35,69,7,10,11,77,15,47,81,82,83,88,57,92,61","35,99,43,78,79,48,53,25","24,44","0,64,44,30",,"0,99,90,38,42,77,14,80,18,82,55,26,28","96,2,6,8,72,75,47,80,22,24,27,93","38,72,41,11,82,22,89,26,59,28,94,31","34,98,40,80,54,28","64,66,38,6,11,13,82,83,88,63","67,36,42,18,19,83,53,22,89,91","1,68,69,46,91,92,31","40,72,43,77,55,86,23,25,58,29","68,43,45,49,25,58,28,62","64,1,2,96,7,74,81,87,57","33,5,73,45,79,92,93",49,"96,33,65,38,39,73,12,16,17,52,22,93","80,18,28,98","33,4,7,12,47,18,55,23,29,31","1,3,36,37,68,41,73,48,81,18","24,35","35,5,44,47,62","96,66,8,73,11,15,47,48,18,19,79,84,54,58",,"15,82,29,22,93","0,64,96,35,68,70,7,40,72,19,20,53,85,23,56",42,"65,2,63"
t4,"1,6,7,8,9,13,14,15,18,23,28,29,52,57,59,60,63,64,68,69,71,85,88,89,99",,"1,21,34,55,60,62,64,69,71,78,79,82,87,89,91,93,96,97,99","65,1,98,74,22,63",9,"1,2,67,99,9,52,24,25,58","0,97,2,34,5,69,8,42,50,83,53,54,23,55,28,61","70,71,72,77,18,54","35,41,42,13,49,50","98,36,7,42,12,45,17,20,55,23,57,29","5,70,42,47,50,51,22","0,39,91,19,52,22,27",,"33,4,36,39,71,9,74,79,83,86,23,26,27,93,30","49,91","40,75,76,83,22,87","3,4,15,31,36,38,40,41,65,70,71,74,78,79,80,84,87,97,98,99","0,65,2,35,7,9,77,47,49,93","72,47,15,54,55,93",,"1,2,3,11,26,30,31,43,46,47,48,53,58,64,69,70,75,76,77,86,98","1,3,6,9,11,18,29,40,46,49,53,59,65,67,71,81,82,83,85,89","96,35,74,78,82,83",,"65,67,72,74,44,15,84,21,25,27",,"98,76,46,50,51,91,62","33,67,8,72,42,11,75,76,46,77,49,83,86,23,28,63",,,"36,10,43,12,49,50,81,83,87,59,93",,,,"96,65,2,3,5,40,11,12,14,80,53,24,56,93","1,37,72,13,17,81,27,31","64,2,34,37,69,39,72,74,51","40,80,49,52,53,55,89","98,71,8,11,13,20,22,55,24,89,58,61,62","2,68,70,47,16,79,81,54,22,87","89,65,97,68,39,7,42,43,45,14,80,84,53,54,55,25,29","0,3,5,6,7,9,14,15,17,18,19,25,30,31,33,47,52,54,80,93",,"97,68,69,6,77,15,18,19,91,92,94,63","34,66,99,75,46,50,84,57,92,31","0,34,67,36,40,9,72,11,47,79,80,21,55,60,93,95",,"64,33,97,35,99,38,71,75,77,15,16,50,53,23,59,31","32,64,34,89,13,77,78,63,25,28,61,62,31",,"7,8,9,11,21,37,38,40,41,47,53,55,59,60,75,77,78,87,99","89,25,90","4,7,9,10,14,18,21,31,37,38,45,49,50,58,59,60,61,62,76,81,84,92","35,42,48,49,19,55,60","64,33,65,3,66,71,9,77,48,80,19,52,86,56,26,88,60,62","32,64,3,40,45,14,93,21,87,28,29",,,"96,4,37,6,10,43,12,77,47,79,17,92,20,93,86,28,61","3,10,16,19,21,23,41,42,45,48,52,56,62,63,65,67,71,83,89","34,38,11,80,83,87,92","4,13,55","64,33,34,99,5,39,72,42,16,81,51,55,89,28,29",,"1,35,4,69,70,7,72,75,12,78,79,18,82,59","32,97,37,8,76,14,79,16,92,83,21,28","33,34,35,65,37,69,7,9,74,45,52,26,91","97,4,44,81,17,82,94,30","96,2,34,5,69,8,12,13,46,76,79,80,18,54,25,63","96,2,37,7,41,42,50,19,20,83,59,61,31","4,7,10,11,12,16,24,32,35,37,39,57,60,66,76,77,85,88,93,95","5,6,8,17,18,20,29,33,36,37,49,50,51,55,60,72,73,79,80,98","34,66,4,5,68,98,73,52,87,27,28,29","16,27,6,14","59,83,51,70",,"98,68,72,9,43,12,16,84,54,86,88,58,92,93","32,98,4,36,71,10,48,17,49,21,87,25,58","0,32,34,97,69,6,70,40,79,83,23,56,57,92","0,36,38,7,39,9,10,72,73,81,84,85,22,87,24,57,60","3,67,69,39,9,42,47,49,19,53,57,92","0,33,2,38,74,76,45,16,48,20,27,29","38,39,42,11,48,23,90,59","5,71,74,75,78,79,16,49,54,60,94,31","66,3,5,72,10,76,15,48,18,19,21,54,89,59","33,34,11,43,76,78,47,79,82,51,84,24","98,91,11,12,43,46,18,19,87,23,89,27,94,31","66,28","32,97,2,58,70,71,42,11,74,75,76,15,80,83,21,26,59,28","1,71,40,41,11,12,46,47,79,49,51,84,24,58","97,99,70,72,42,46,15,49,50,83,54,88,57,60,95","33,76,77,92,80,50,82,86,23,60,29","91,27,54","6,13,79,21,53,24","0,4,16,25,26,28,33,34,36,39,41,44,45,50,53,74,76,87,88,89,90,93",,"33,66,3,35,70,41,17,81,84,55,87,23,63","3,5,6,11,14,15,16,22,24,26,34,36,42,45,48,50,71,76,78,79,82,88,89,99","49,68","78,12,21,38"
t5,"33,65,3,98,38,40,75,12,47,49,19,54,55,25,26,62,31",,"33,65,68,38,8,9,42,11,43,52,23","0,33,64,14,78,79,17,18,80,91,28,30","78,47","35,37,6,69,40,71,73,13,47,86,62,94,27,30,31","96,1,71,72,41,73,74,46,79,52,87,94,90,92,30,63","73,42,45,52,23,24,25,59,92,61","69,10,14,60,81,18,20,55,28","34,35,38,39,40,11,77,49,51,53,91,94","6,21,34,49,55,59,60,63,71,72,76,79,80,81,85,88,89,90,99","1,69,73,13,18,50,21,86,55",,"3,5,6,20,24,25,28,41,42,47,48,50,54,56,75,78,87,89,91,95,96","24,73,40,63","80,63","1,5,6,8,12,17,22,25,27,29,46,47,48,49,53,56,66,69,76,82,83,90,93,95","1,98,3,67,70,71,45,14,18,51,25,62,31","2,36,69,7,8,13",,"0,6,7,8,9,10,12,15,25,28,33,36,37,41,51,59,72,73,79,82,83,87,89","64,66,35,75,13,45,47,80,17,92,20,87,24,25,60,94,31","7,13,45,80,52,53,54,87,24,58,27,28,29",,"71,45,14,49,85,87,55,58,28,62,63",,"1,33,4,41,14,78,16,48,18,55,23,57,90,63","96,4,38,6,40,70,43,45,47,16,22",,,"66,68,38,7,42,11,44,13,14,45,16,77,51,84,21,85,90,91",,,,"89,33,66,68,37,6,70,75,15,16,48,83,21,94,57,90,30,95","0,64,65,3,67,97,8,42,77,14,16,80,19,21,57,58,94","33,6,38,40,13,60,92,17,82,83,56,94,28,62","0,70,7,44,87,24,58","0,6,12,14,15,23,28,41,44,47,52,54,60,63,67,69,72,92,93,94","66,73,10,43,15,18,83,52,88,28,93","64,35,5,6,70,73,44,17,19,85,88,59,60,61,95,31","66,98,90,38,39,70,73,42,12,44,46,58,91,95",,"37,39,41,12,14,46,79,61,20,21,88,58,27,29,30","5,70,71,41,45,15,18,82,54,23,86,58","64,99,4,7,71,91,43,46,16,48,50,82,22,54,57,27,63",,"65,67,5,72,41,73,43,46,17,81,21,54,92,93","33,35,69,6,9,41,11,12,43,44,74,18,50,26",,"33,35,4,70,71,10,42,12,76,85,91","43,47,94,39","32,97,34,3,35,68,8,73,43,75,15,82,19,85,22,23,25,95","1,98,99,71,12,52,27,62","32,2,36,68,40,10,11,75,13,76,15,51,90,28,95,63","58,68,70,72,74,75,78,49,50,20,53,89,26,30",,,"97,2,66,36,98,38,70,41,42,91,46,18,52,84,87,27","7,20,31,32,33,35,36,37,38,50,51,72,75,77,78,79,80,82,95","0,64,89,99,69,91,56,57,90,27,63","24,72,38,47","4,12,15,18,20,24,40,41,44,47,50,52,70,74,79,82,83,88,90,92",,"5,8,24,28,29,31,40,42,45,51,57,60,63,68,71,73,80,91,95,98","15,18,33,34,35,38,43,44,46,52,62,64,70,74,77,86,88,90,98","96,1,38,40,75,14,18,83,94,54,55,25,58,61,62,57","2,68,71,72,76,77,14,46,16,47,78,80,20,92,22,28","65,67,4,41,73,43,78,20,84,22,26,30","98,35,68,13,77,47,15,79,52,55,57,60,95,63","68,5,38,71,43,78,47,49,18,21","0,64,2,34,65,66,67,68,40,9,74,12,76,22,86,91","37,69,39,10,42,45,92,16,81,18,50,20,84,54,58,60,31","65,38,70,46,49,85,23,88,61","34,3,4,98,7,9,63,31",,"3,5,6,8,13,15,17,19,20,21,22,23,29,32,35,39,45,46,48,52,71,79,85,87,89","65,35,3,67,38,68,99,74,76,78,15,20,84,86,88","64,99,36,5,14,48,54,90,91,61,95","8,16,17,18,19,20,23,32,43,44,45,49,51,59,61,70,71,76,91,97","65,2,98,40,12,50,20,54,90,60,61,94,95","32,98,4,70,71,73,75,44,46,78,51,52,84,55,57,30,95","2,70,72,79,49,83,52,85,63","1,99,69,6,38,39,73,42,12,13,52,22,56,57,62","2,16,20,27,33,35,37,40,47,50,53,55,60,71,80,81,87,88,98,99","0,4,10,14,16,17,18,19,20,27,29,36,44,52,56,59,63,65,91,95,99","96,65,2,34,4,35,6,38,68,74,16,81,56,88,95","46,90,93,22","34,3,35,5,6,37,40,41,98,48,50,82,25,91","5,7,9,13,14,19,31,32,38,44,48,54,60,65,67,69,72,76,87,93,96","96,34,5,6,71,40,10,43,74,14,17,52,58,28","0,32,89,67,70,71,8,21,87,24,25,90,27","4,77,80,50,23","64,1,98,36,43,16,22,23,57,59,29","38,7,70,12,46,78,80,81,83,21,55,27,31",,"68,42,44,76,50,83,52,53,88,90,28,62,95","12,17,18,25,29,30,44,46,47,51,54,57,58,62,73,74,75,77,84,86,87,90",96,"98,68,37,40,76,45"
t6,"66,37,72,42,81,20,56,94,30",,"74,15,49,56,59,29","89,7,40,10,43,44,13,46,82,52,53,87,24,25,27,92,29,57","72,18,61","32,64,34,72,43,76,45,60,16,17,18,48,84,21,28,61","44,78,48,19,20","96,37,41,11,12,75,46,19,21,87,31","99,39,72,9,73,44,78,52,24,91,29","4,5,41,76,14,79,63,83,61,31","1,8,11,12,13,17,18,24,25,28,38,43,58,64,65,68,73,75,86,91","64,33,38,71,12,77,47,16,56,88,60,29,94",,"32,1,64,97,68,69,70,44,76,81,82,21,88,57,58,59,92,63","32,96,69,78,16,50,52","24,2,82,14","42,21,86,23,61,62","4,6,73,11,12,78,79,48,92,61,21,54,56,58,88,60,29,95","40,75,46,81,21,22,89,26,60",,"65,35,99,74,49,18,57,90,92,29","99,68,69,70,72,16,86,30","4,5,69,70,40,11,12,79,18,51,61,30",,"1,35,68,11,50,19,83,54,61",,"2,34,38,70,42,12,60,20,21,24,28,93,31","97,66,36,9,44,79,17,82,91",,,"1,9,15,22,35,37,40,47,52,54,55,57,58,61,63,70,74,94,96",,,,"97,67,99,73,81,85,91,60,61","68,38,39,6,7,70,71,75,88,47,49,82,53,56,59,60","1,97,70,41,42,91,15,18,20,21,53,23,54,55,84,87,63,31","64,97,35,4,67,11,12,13,47,59,30,31","3,7,9,10,29,33,42,43,46,48,49,50,53,65,66,70,74,79,90","64,65,98,3,99,6,38,11,45,48,49,50,19,82,53,60,95","96,98,67,4,77,21,22,24,56","37,71,76,13,79,49,51,53,55",,"2,35,98,38,75,45,80,82,83,23,31","0,36,7,39,73,11,76,20,22,87,29,30","32,96,68,6,10,76,19,84,53,28,29",,"0,11,78,79,20,84,85,90,28,94","66,67,5,73,42,14,47,49,51,21,56",,"44,46,19,54,88,89,90,92,62","18,66,6","0,99,6,71,42,74,44,46,47,16,20,53,86,87,88,93","0,32,2,3,33,64,40,45,80,25,61,30,95","0,96,34,99,5,74,43,46,81,84,22,59,92","0,98,67,5,6,7,37,9,10,44,77,80,81,94",,,"3,69,40,9,74,76,13,21,90,29,63","0,34,66,4,6,70,8,9,47,18,85,22,24,26,91,60,94","2,66,71,73,77,51,23,88,59,28,61,30,95","15,49,20,25,26,28","2,3,8,9,13,23,27,36,37,38,49,53,54,57,60,67,77,91,98",,"0,33,96,67,44,14,47,48,50,53,22,54,56,94,30","1,9,10,11,13,19,23,25,31,40,42,55,63,72,75,81,84,89,99","4,70,39,42,11,44,47,87","66,98,36,37,88,13,15,79,49,19,84,85,56,25,27,93","0,97,36,9,10,74,85,62","0,64,67,71,8,72,74,43,14,48,87,58,27","36,8,17,56,26,94","99,38,39,16,84,21,24,26,62,31","1,3,71,8,9,74,44,13,47,19,86,88,94,62","64,36,39,40,41,43,45,92,87,57,28,31","32,36,37,8,13,46,78,81,21,86,23,56,27,60",,"64,96,34,97,7,73,10,11,74,75,47,60,61","97,70,9,73,79,81,52,85,29,62","4,37,39,71,74,12,76,77,47,18,29,63","64,65,96,4,68,42,13,78,48,83,21,53,88,62","1,33,99,76,78,15,16,18,51,84,56,25,29","64,96,99,8,40,77,80,21,87,28,94","65,66,35,4,36,97,7,41,75,47,16,62,58,88,60,93,30","0,97,37,9,10,48,17,82,53,88,28,61","67,6,38,9,41,14,17,82,51,83,85,86,56,57,91,95,31","3,9,30,31,32,35,39,45,46,48,49,53,67,69,72,73,75,83,89,92,93,94","1,97,99,69,42,13,14,15,48,17,60,80,55,24,26,59,28,63","41,45,20,91,60,63","1,7,79,81,55,60,30,63","3,4,21,27,35,36,37,42,50,52,53,61,63,64,66,75,85,88,94,95,99","1,65,67,98,37,75,44,16,82,85,86,89,26,27,63","34,98,7,12,46,78,22,93,30","96,68,38,7,8,70,71,75,76,46,81,18,19,87,88","97,68,7,74,11,77,15,80,81,20,88,60,61,95,31","64,65,2,35,68,43,13,17,52,85,22,86",,"64,65,97,98,71,11,77,48,18,20,24,25,56,60","65,9,91,49,81,55,59,93",26,"66,59"
t7,"5,76,16,50,27",,"98,5,72,45,20,26","2,6,12,15,16,21,23,35,36,45,50,60,61,62,68,72,83,95,96","33,97,10,77,19,60","65,38,39,42,11,44,14,50,19,83,22,88,26,92,93",7,"65,99,4,5,68,10,80,50,82,86,88,63","96,38,43,12,45,17,21,54,86,56,62,88,30,63","1,65,6,74,44,80,50,52,26,27,92,62,95","96,33,2,97,36,69,39,46,48,52,84,56","68,42,15,81,82,87,23,28,62",,"65,67,73,15,16,17,29,80,85,90,61","3,9,43,18,83,21,56,57","96,71,44,79,59",94,"33,34,37,59,42,75,44,83,85,27,63","0,32,98,35,3,68,70,78,87,88",,"24,17,19","32,36,37,44,55,93","65,34,97,71,72,10,44,77,47,84,25,26,91,92",,"34,3,40,42,12,78,80,17,81",,"68,69,79,17,54,86,95","57,34,5,14",,,"0,98,99,69,8,73,76,79,17,25,60,95,31",,,,"43,78,54,92,29","73,44,15,18,51","4,7,11,22,27,29,30,47,59,61,67,76,77,79,86,88,90,95,96","96,65,3,10,91,76,45,77,17,83,56,90,27","32,37,75,76,16,86,88,57","1,4,5,20,23,24,31,32,34,37,42,44,57,62,63,69,76,86,94,96","83,27,78","96,75,16,48,24",,"3,36,67,71,11,78,17,52,87,57,62","10,79,51,89,28","65,8,74,78,15,52,23,58,94",,"89,98,69","96,4,37,38,39,82,20,85,91,60",,"73,20,6,68","73,28,37,38","17,28,77,55","36,68,70,74,11,77,17,82,51,84,21,85,24,59,29","6,41,45,21,87,58,61","36,8,12,48,18,83,22,86",,,"72,67,59,30","1,40,76,55,27,93","65,97,70,72,75,76,46,17,82,84,58","65,66,35,3,69,99,39,79,83","1,65,35,68,76,14,80,19,85,87,61,30",,"99,6,41,74,15,49,21,87,23,89,58,62","0,2,4,6,71,12,45,47,50,54,87,58,59,60,61","99,73,80,49,82,53,21,85","3,58,40,48,18,50,51,26,91,60","1,59,7","33,76,88,25,26,28,30",22,"41,42,43,75,78,53,94,59,30","65,97,12,76,49,83","34,35,67,5,69,7,8,99,11,76,13,77,48,52,29,95,63","38,72,42,11,75,47,52,22,25,29,62",,"41,44,83,56,57,94","1,34,5,13,16,82,53,61,95,31","66,73,43,44,15,49,50,84,88,58,93","1,58,5,6,74,75,77,14,46,56,26,95,31","0,97,34,37,41,74,45,79,81,28,62","1,6,7,11,12,47,79,23,26,92,62","33,3,6,71,8,13,14,80,17,18,81,20,22,24,61","4,76,14,80,51,24,90,91,95","97,36,70,42,12,44,46,77,22,24,26,63","98,5,37,70,40,41,13,15,50,21,54,23,86,25,58,60","66,39,40,9,71,72,78,52,53,54,62,57,90,29,30","67,38,43,11,78,79,83,52,84","36,8,13,47,20,87,94","97,2,68,73,10,77,16,20,86,23,56,25,62","77,45,78,79,20,21,56","35,4,45,79,17,51,85,56,57","5,6,13,17,25,28,31,33,34,36,37,47,48,53,63,65,73,78,79,82,84,86,93,94,95","2,67,37,73,10,42,75,76,14,49,50,19,90,94","42,82,62,63",,"32,37,74,12,14,86,31","2,67,61,63","43,38","19,92,87"
t8,70,,"32,35,39","32,67,99,5,69,39,70,41,73,75,76,20,54,90,94","1,36,71,41,45,16,80,20,88,58","70,77,79,49,53,89,90",91,"32,98,67,6,9,60,16,51,55,89,91,28,29,95","32,64,98,3,4,36,68,40,11,79,84,87,89,90","64,96,2,97,69,37,75,25,90","35,4,15,83,92,62","32,96,98,35,8,10,74,80,57,93,30",,"18,19,22","34,2,67,11,13,82,20,53,85,86,87","36,41,57,26,60",,"39,41,43,50,53,57,30","1,9,76,80,83,52,90,62",,,39,"32,33,36,38,39,43,14,16,48,19,86,62,31",,"99,69,38,39,8,41,75,46,48,53,60",,"40,99,75,52","99,48,51,53,89,58",,,"32,33,71,72,41,78,48,20,53,89,26,27,62",,,,"8,1,17","24,9,11,99","65,35,68,99,10,44,45,14,49","98,72,41,46,18,86,92","73,17,82,27","33,97,12,77,14,21,56,89,58",26,32,,"64,89,34,96,7,44,76,16,48,56,25,59","8,2,59,93","56,18",,"32,58,30","70,8,79,19,87,57",,"61,94","96,75,67,98",64,"65,37,38,7,10,44,14,16,50,22,90,93","1,73,82,94,30","4,82,23,59,60",,,83,"81,25","3,37,6,39,50,22,86,24,25,31","97,7,40,71,42,43,78,27,60,63,31","32,96,7,10,46,78,48,25",,"10,86","67,36,69,39,95","67,71,10,77,59,95","0,33,35,6,11,86,63",14,"36,78,54,22,86,90,91,29","41,55","1,44,13,52,85","11,63,70,15","32,89,66,90,10,42,12,80,50,84,54,86,25,58","35,71,14,16,17,18,49,82,91",,"2,53","42,43,45,23,57,60","17,20,53,87,24","12,37,86","75,46,21,22,86,24","56,43,61","64,37,40,10,74,44,45,76,77,78,50,25,94,57","32,65,47,30,63","1,4,39,7,79,23","66,8,12,90,28,61","32,64,44,76,77,47,51,84,25,58","2,58,6,7,75,76,15,19,85,25,26,31","69,49,23,89,92","81,74,70","24,69,53,62","64,96,2,38,10,28,94,95","0,1,99,69,39,9,11,45,16,49,51,20,21,22,57,29","33,65,4,69,38,8,40,41,12,78,82,52,84,54,85,92",,,"34,67,51,21,27",41,"4,75,17,50,95","10,74,14,48,81,84,55,58,29"
t9,,,54,"88,34,77,31","64,34,67,38,6,75,76,46,17,82,56,93","33,23","88,43","97,35,39,79,15,84,62","2,34,5,46,19,51,53,22,92","68,84,21,89,28,93","9,44,45,54,29","2,66,67,6,78,51,24",,"12,45","33,99,5,38,70,41,10,79,80,19,23,89","34,72,10,23,95",,"82,19,28","97,66,38,71,41,42,11,77,58,27",,,,"17,2,95,15",,"4,79,26,30,31",,"64,96,66,36,11,88,29",,,,"80,56",,,,23,"32,5",98,"32,48,28,82","99,91,84","35,7,84,26,30",,,,"99,8,42,86,93","3,35,13,25,61",,,87,"88,90,23,7",,,"0,9,40",,"97,34,39,72,41,43,15,79,18,20,57,26,91,28",,"35,99,76,46,47,79,54,91",,,,5,"33,67,36,44,49,18,93,94","0,34,74,76,77,48,80,18,51,52,81,85,23,57,95",95,,66,"41,26,53","72,13","65,99,83,23,57,29",,"66,99,5,38,6,46,80,17,23",91,97,"38,91,6,55","0,2,3,98,72,81,18,19,94,62","65,99,68,48,19,20,24,58,92",,"25,4","19,39","16,19",52,"36,70,73,44,85,59",69,"67,51,53,21,54,55,87","33,34,3,11,19,21","34,75,13",,"50,20,85","33,34,35,36,65,70,39,8,59,98,47,18,86,24,27,92,61,30","44,95,54,68","8,33,92,6","19,94","49,15","32,97,2,98,43,12,14,60,61","70,71,45,48,17,18,28,63",,,"5,38,39,8,89,30",,"2,34,71,77,46,14,80,81,82,19,84","64,33,5,7,9,73,44,47,16,49,18,50,51,23"
t10,,,77,71,"0,98,99,37,69,11,43,81,22,23,87,25",,,"0,2,3,43,56,90,27","0,71,75,83,26,59,61","43,46","0,82,23","4,37,41,75,46,49,25,61",,"62,46","1,98,68,6,8,45,51,22,88,94,58,28,30,31","33,4,5,69,70,48,17,55",,,"64,65,34,99,6,39,17,23,24",,,,"57,55",,,,"37,7,74,45,77,47,15,53,85",,,,,,,,,"34,36,30",,"34,74,14,57,63",,27,,,,"66,4,54","17,52,77",,,,"46,30,15",,,"50,99,45",,"4,5,83,87,94",,"43,2,27,63",,,,29,"5,40,41,12,19,55","96,8,11,75,46,50,82,53,54,90",,,,"96,5","81,90","32,52,61,87",,"70,9,11,49,53,89,92",,3,57,"33,68,37,79,47","2,69,45,79,80,93,54,61",,"67,78",,55,,,,,"89,18,36,50",61,,"67,3","37,9,13,77,16,56,62,95",31,"43,29","11,22","19,53,55","40,74,44","25,91,86,87",,,75,,"6,7,72,45,78,48,18,93,21,22,55,24,58,27,92,61","96,4,39,42,77,15,80,82,93,85,57,61,30,31"
