Clock Tick,Sursa_0,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,55,"17,55,23",32,84,"58,47",,"86,71",,9,39,25,"48,68",70,,19,"65,9,36,45",47,"73,12","74,35,28","14,63",,,"26,60,82,62",,28,81,"75,51,77","4,93,14",,56,4,,"66,83,36",79,56,"33,91,19,13","51,15","38,55","66,11,37","9,18",43,,74,40,47,"14,15","96,33","76,77,63","88,65",47,,"57,19,36,76",69,,24,"0,74,37","78,71","67,68,39,51,59",,"17,91,78","67,68",78,"99,5","19,47","83,77","40,15","0,49,51,23",83,,"52,76","75,12,29,71","49,93,21,15",,"88,92","18,55",,"68,47","26,47","61,30,31","33,43",36,44,2,"64,67,12",,7,,"58,31","73,90,4,63",,"16,45","35,54",,"41,74,45",27,,,,"26,13","2,52"
t2,"88,1,94","0,2,74,11,88,59",36,,"0,49,43",,"56,79,31",,82,"57,3",83,"57,12,45,60",29,,,"32,40,80,82,83,52,87","49,38","88,58,84,70","33,34,13,78,91","47,31",,,"2,9,88,59,92",,18,86,27,"99,71,41,45,78,58,30",,"49,71","88,99,27,63",,"64,96,67,5,51,53,25",,29,"97,98,46,14,50,51,54","65,57,19,20","88,47","6,39,48,51,31","35,15",66,,"33,39","96,65,70,80,20",77,"65,2,36,71,82","89,74,95","3,19,88,26,59","40,83,55,90,63","4,38,44,77,16,95",,"97,68,39,46,47,80",,,"62,22","41,34,42","74,59","34,98,74,76,19,20,24,89,26,91,60",,"34,73,74,12,15,61","32,34,76",92,"2,12,58,94","4,71,43,44,77,14","67,59,53,62","16,80,70","1,76,53,55","64,96",,"26,3,45,47","20,5,6,84","36,74,43,13,16,82,53,54,94",,"78,55",,,"4,11,16,57,60",43,"8,64,4,87","89,46",51,,69,"34,5,17,57,61,94",,,,"33,4","97,99,45,58,92,30",,"52,68,87,15","24,18,19,13",,"34,68,37,39,10,42,15,55","51,62",,,,"50,77",
t3,"48,82,23,90,27,63","66,69,6,39,77,78,48,82,24,57","80,67,51,5",,66,,"33,46,49",,"94,22","67,84,77,94","67,35,75,12,53","70,62",,,,"64,96,66,67,99,70,75,20,22,25,92,94,95","56,66,53","40,99,29,55","1,46,54,56,31","16,66,38,79",,,"96,66,8,15,48,17,23,24,57",,"43,35,39",,94,"34,73,15,19,56,31",,"66,43,19,53,93,31","48,90,93,94",,"1,6,40,16,17,20,57,26,92,61",,70,"66,4,76,45,78,20,24,57,59","97,83,59,46","4,73,43,76,16,48,63","36,74,20,57,26,62","65,19","0,32,23",,"57,11","72,75,95",,"32,66,40,83,56,93,31","39,47,80,55,90","39,73,46,14,51,20,52,24","1,67,37,74,11,45,80,20,94,95","96,3,80,81,89",,"96,38,40,44,77,16,49,18",,,"57,77",,"39,42,18,93,55,57,61","97,35,69,7,40,72,42,12,77,46,78,17,22,54,56,62,95",,"64,33,65,5,70,39,45,92,18,82,55,28,93,30","56,61",,"32,64,4,70,49,84,87,23,91","40,45,78,79,56,58,59","32,98,99,6,39,78,49,54,24,57,91",64,"37,11,46,88,91","61,94",,"72,75,44,77,14,15,22,87,95,63","36,11,50,86,59","24,64,78,47",,"1,37,74,56,94,31",,,"18,51,22,55,24,62",,"97,9,77,47,16,83,58,27,94,63",96,20,,76,"82,27,76,62",,,,"97,99,74,88,27","2,15,82,52,87,93",,"65,2,36,71,43,76,57,60,94,31","39,14,50,51,22,59,62",,"2,11,16,48,18,54,57,28","66,5",,,,"62,59,54,47",
t4,"2,37,15,16,47,19,22,93","64,9,14,15,51,52,53,54,62,94,26,28,30","76,17,83,20,57,27",,31,,"66,35",,"64,87","36,12,47,49,83,26,59","34,68,6,72,49,20,60","5,22",,,,"0,34,73,43,77,46,78,49,81,26,59,28,62,31","2,34,6,71,43,83,22,54","65,1,20,62","96,5,71,29,63","0,90,43,71",,,"32,65,67,5,38,39,78,51",,"40,74,13,79,19,21,57",,"49,82,55","66,35,36,74,46,17,82,63",,"2,40,45,13,15,46,47,79,59,63","32,64,65,37,71,41,74,45,49",,"98,68,70,71,72,43,75,76,78,47,18,90,59,30",,"98,75","67,68,38,39,75,60,47,63,87,88,58,28,61,94,31","32,96,67,68,77,78,17,60","27,11,30,15","32,33,75,78,22,55,88,93",,"2,83,58,94",,"51,68,38,55","26,83",,"34,67,70,43,76,46,78,20,23,25,59","0,37,9,11,16,49,88,94,63","36,40,72,74,11,45,16,18,22,54,57,58,28,62","36,38,39,78,17,50,51,54,87,89,91,60,93","40,36,46,39",,"64,66,90,70,71,43,20,26,92,62",,,"26,47",,"35,68,11,43,45,76,51,86","64,65,5,70,43,83,52,21,90,27,92,31",,"98,68,71,9,41,43,77,46,16,48,52,24,88",49,,"1,66,3,67,71,45,77,47,83","66,76,20,22,87,24,91,93,31","34,3,35,37,66,74,11,47,17,50,56,26,28",61,"68,38,12,48,31","32,99,76,49,55,87",,"96,78,16,82,19","66,15","56,76,77,62",,"34,66,71,49,54,22,87,27",,,"1,66,36,37,39,74,77,82,54,26,27,28",,"32,65,99,38,39,75,76,51,55,93",83,,,"56,26,68,46","2,99,14,51,56",,,,"34,73,14,48,18,51,94,93,62,63","9,13,41",,"32,67,69,39,47,79,18,51,83,21,22,23,27,93,62,63","99,11,76,57,27,60",,"64,65,6,47",89,,,,"66,38,43,53,24,91,60",
t5,"64,99,71,9,77,49,51,54,60,62,95","98,3,5,37,71,8,72,91,43,45,16,18,19,20,83,22,27","96,34,68,12,78,50,56,28,93,62",,63,,"51,43,13",,"16,31","32,96,5,43,75,51,88,61","66,71,40,74,11,45,57,59,94","24,82",,,,"33,39,71,91,76,14,47,79,17,55,56,57,58,27,61,63","96,67,40,75,15,24,91,60,31","5,15,83,23,59","4,70,47,17,19,21,88","15,18,55,88,93",,,"36,74,11,76,14,19,89,94",,"34,68,70,71,50,51,62,31",,"0,11,92","32,33,2,5,18,51,23",,"98,35,38,10,44,77,78,16,17,80,82,57,91,61,95","33,34,68,70,40,14,15,16,78,19,83,54,55,87,61,31",,"4,12,13,45,60,79,56,28,29",,26,"34,3,99,74,79,48,18,83,55,62,90,30","64,34,66,7,73,12,56,89","65,36,6,45,14,51,94,62","71,41,14,89,61,94",,"65,35,4,99,49,82,87",,"0,66,37,45,59,94","88,98,22",,"98,69,10,75,47,92,17,51,21,60,61,30","64,66,4,6,38,15,48,51,24,26","35,67,37,5,68,70,43,80,53,87,90,93","66,35,5,7,9,59,19,86,24,62,26,27,30,31","32,65,5,9,76,19,20,51,57",,"0,32,88,59,75,45,78,79,50,22,24,27,93,94,31",,,"98,72,76,16,51",,"33,66,6,38,10,12,47,19,52,21","96,66,3,75,45,16,48,18,25,61,94",,"96,69,8,40,76,79,54,22,57,90,60,63,62,31",94,,"89,68,6,43,79,19,51,52,25,59,95","0,33,2,38,13,49,50,51,54,27,60,61","1,33,68,43,75,13,76,18,51,84,22",30,"5,70,17,57,59,63","1,66,69,71,51,58",,"24,59,51,61","65,2,38,9,43,91","68,39,46,51,27",,"32,4,70,43,51,28,93,62",,,"32,34,3,67,5,38,98,43,15,17,49,23,59,93,94",,"1,2,66,36,68,71,40,74,11,18,20,52,56,57,26,62","32,65,35,12,25",,,"96,57,75,60","36,71,11,45,19,58",,,,"66,35,5,39,41,11,77,78,47,17,20,86,57,26,28",39,,"99,4,38,41,74,11,77,82,54,86,24,89,56,28","67,68,6,46,48,93,56,26,61,94",,"44,95",95,,,,"2,35,67,37,7,79,49,51,22,23,31",
t6,"89,66,3,5,83,24,57,58,91","32,97,4,36,70,10,75,12,13,47,49,21,56,89,31","99,91,13,14,77,54,22,86,59,92,30",,19,,15,,,"2,66,4,71,40,11,46,15,55,92,30,63","2,99,39,43,15,79,80,93,56,90,61,62",,,,,"1,35,68,5,38,74,11,12,16,51,21,88","35,9,78,79,82,57,59","32,2,36,68,24,25,61,57","97,98,99,38,73,43,51,26,27,30","1,39,45,86,94",,,"33,97,68,80,55,27,61,63",,"99,36,5,11,12,77,20,22,54,93",,"66,38,6,39,73","1,76,16,83,20,89,62",,"96,3,67,37,12,76,51,94,90,30","89,1,35,67,11,12,46,79,80,18,53,56,25,59,92,57",,"10,15,49,50,22,91,31",,"51,77","96,65,8,42,11,12,43,52,25,95","2,99,5,38,72,92,49,84,23,58,28,29","67,10,19,83,53,24,57","59,79,15,49,27",,"71,47,15,18,52",,"32,98,99,77,49,20,52,54,23,87","4,60,63",,"4,68,73,13,22,57","2,98,36,99,72,59,76,77,19,83,54,86,27,30","32,1,33,71,12,13,15,48,49,79,86,29,94,95","32,2,98,71,8,43,77,14,79,22,61","1,66,68,69,8,50,83,94,26,59,28,62",,"33,2,4,73,13,17,82,52,54,55,56,87,91,63",,,"36,12,15,19,90,59",,"32,97,99,4,46,14,84,95","0,32,37,10,14,15,47,49,87,23,88,30",,"99,4,80,51,53,95","57,82",,"96,41,10,11,76,17,21,57,26,27,60,61","35,11,57,23","36,69,19,23,89,27,31","8,4,78","24,4,61","2,4,6,11,43,79,17,20,23,26,27",,"17,20,57","32,1,99,37,40,48,18,21,54","96,33,3,57,60,31",,"2,67,39,40,45,47,24,26,63",,,"2,70,71,41,12,45,13,78,83,84,53,56,91",,"0,98,67,72,43,12,60,15,79,49,50,22,59,28,29","40,10,15,81,18,84,94",,,"70,39,7,83,20,59,92","0,39,73,10,43,48,87,93,31",,,,"0,64,67,38,72,43,44,13,81,50,55,56,89,61","57,74,11,62",,"33,34,66,97,42,78,81,50,55,26,59,92,29,95","32,64,34,65,36,37,75,12,45,78,82,53,30",,89,"80,47",,,,"99,36,11,46,19,57,94",
t7,"38,12,52,53,87,25,59,28","33,35,67,38,76,46,87,29","64,1,66,15,82,58,60",,97,,36,,,"0,65,97,99,38,70,73,91,78,79,82,19,27,31","4,9,76,78,16,21,22,95,24,27,30,31",,,,,"42,48,18,19,60,93","33,68,8,13,19,20,62,94,92,61,30","64,67,45,80,81,51,54,28","75,11,76,14,79,52,22,92,93","32,64,3,9,10,11,57,91,62",,,"64,4,12,46,47,95,31",,"64,67,4,91,15,82,84,58,27,60",,"17,53,86,88,58","64,67,68,69,90,24,26",,"64,4,68,69,48,20,54,55,88,89","96,66,5,38,72,73,76,17,82,51,20,24,91,29",,"33,46,82,24,62",,"66,27,76","69,40,9,72,21","4,71,11,47,53,62","32,68,60,49,54,25,28","24,17,98,47",,"36,39,41,19,95",,"2,4,70,40,50,24,26,62","97,47",,"35,58,88,26,63","32,65,97,3,67,68,14,78,17,82,20,21,25,61,62","65,66,98,50,83,56,89,31","69,6,70,76,47,15,18,21","0,64,2,34,98,72,11,12,43,78,53,55,23,25,91,60",,"34,35,98,69,99,9,41,12,15,58",,,"32,97,2,66,68,83,20,91,61,63",,"96,2,34,90,30,31","2,4,36,71,9,44",,"94,47","59,51",,"34,69,38,7,46,78,56,92",68,"4,71,15,93,95","9,47","78,16,58,28,30","97,34,98,5,72,73,88,75,77,47,22,62,59,30",,"1,12,39","17,67,94","59,92,22,79",,"96,3,69,72,16,82,20,90,60",,,"65,35,99,10,14,79,52,90,29,31",,"5,7,13,82,84,24,89,91","64,3,70,71,82",,,"65,40,77,51,85,61","3,9,41,74,13,15,79,18,86,88,25",,,,"1,98,37,71,15,79,54,25,59","34,68,5,51,55,27,94",,"96,98,73,13,17,20,88,91,61","5,70,72,9,10,41,15,92,17,83,55,28",,33,"4,36,38,76,16,49",,,,"32,33,97,68,71,48,55,58,63",
t8,"68,70,72,45,78,17,81,20",34,"0,38,7,43,23,31",,,,"80,67,5",,,"1,33,52,54,87,62","8,46,47,82,51,26,63",,,,,"37,13,7","99,4,74,12,45,14,77,51,87,89,93","66,10,44,16,52,21,86,27,93,95","68,69,45,82,24","68,77,83,84,54,59",,,"70,72,16,84,87",,"0,83,87,94,59,92,30",,"1,99,93","11,22,88,57,60",,"1,11,52,33","2,28,50",,"99,39,19,54,94",,"43,4,93,14","2,70,71,15,80","6,39,70,43,79,16,55,24","71,7,12,50,21","34,4,5,77,28,95,63",,"96,67,37,74,51,89",,"5,69,43,75,76,22,88,58,27,29,63","19,76",,"72,90,19","5,81,84,22,57","64,34,38,23,25","82,46","35,67,37,6,70,99,74,14,17,18,22,88,58,61,31",,84,,,"64,35,4,67,40,75,45,49,60,94",,"40,17,83,88","82,93,6",,44,"66,78,19,20,26",,"74,22,30",12,"65,97,70,45,63","82,76,39","8,73,64,20","3,36,39,12,16,56,57,92",,"5,70,11,91,62","64,34,49,87,89,27","17,98,61",,"50,84,95,7",,,"19,69,46,63",,"35,54,95","6,39,16,22,93",,,80,"33,65,35,4,42,16,52,90,28",,,,"2,9,19,21,24,91","1,67,12,17,89,28",,"64,1,35,70,72","0,1,2,96,71,40,43,25",,31,"67,68,90,71,46,53,56,58,63",,,,"4,73,12,56,88",
t9,"75,14,50,86,29",,"79,85,46,47",,,,"40,17,89,60,62",,,"50,35","33,98,44,19,88,92",,,,,"50,54","3,36,5,39,72,10,76,84,86,88,90,27,63","96,71,47,18,89,94,31","90,60,94,15","67,12,76,78,17,50,53,60,61",,,"58,75,18,90,29",,"32,96,98,8,75,45,78,17,49,55,25",,"2,34,4,71,41,91","39,7",,,"69,13,23",,"97,34,3,74,11,55",,"97,99,13,47,58,63","32,36,6,16,29","37,40,9,74,22,86","91,84,85,31","96,90,3",,"33,34,5,20,54,55,27",,"71,46,17,18,19,21,90,31","68,69,71,51,56,61",,16,,"81,99",,"33,71,75,45,13,82,54,87,30,63",,,,,"33,70,52,87,58",,"1,67,73,75,20","11,13,86",,,"0,71,40,72,50,22,28,63,31",,"24,82,39","72,17,83","48,10","2,68,11,18,57","40,83,72","68,84,24,91,29",,"99,68,40,54,89","4,74,14,28,62,31","73,1,12,30",,"80,89",,,33,,"80,19","45,47,53,86,90,62",,,,"40,47,24,91,95,63",,,,"82,46,23","72,59,70,95",,"19,12","81,20,21",,"79,63","32,99,6,70,78,79,19,83,54,88,29",,,,"70,92,30",
t10,6,,"49,19,4",,,,"99,7,73,12,24",,,"18,20","96,97,70,14,48,81,89",,,,,,"1,69,80,81,18,52,26,95","39,43,77,79,49,19,87,56","65,7,49,87,95","5,6,72,51,22,26,92,30",,,"0,99,45",,"2,9,10,81,88,26,61",,"32,35,70,15,19,28",,,,,,"0,42,48,93",,"73,16,19,52,95","56,5","81,82","1,87,79","16,45",,"88,12,14,46,79,50,21,24,56,59,62,31",,"96,97,12,78,16","34,66,59,11,12,49,57,27,29,31",,,,,,"79,15,52,21,92",,,,,"89,74,99,31",,"91,28,5,23",50,,,"12,13,15,80,18,21,24,58,88,93,62",,"18,28","65,67,53,5",,"67,48,51,94,59,60,62","65,25,26,43","35,60,54,15",,"34,67,37,80,21,58","97,46,78,22,55,57,93,30,63","8,72,5,23",,"36,5",,,,,,"99,4,77,54,88,95,63",,,,"80,89,77",,,,96,20,,5,,,71,"33,2,34,74,12,14,48,17,55,26,91,61,30",,,,"40,75,29,78",
